Cutter.bway.x,Cutter.bway.y,Cutter.hloc.x,Cutter.hloc.y,Cutter.maxmph.x,Cutter.maxmph.y,Cutter.mph.x,Cutter.mph.y,Cutter.pfx_x.x,Cutter.pfx_x.y,Cutter.pfx_z.x,Cutter.pfx_z.y,Cutter.vloc.x,Cutter.vloc.y,Cutter.x,Cutter.y,FIP.x,FIP.y,Fourseam.bway.x,Fourseam.bway.y,Fourseam.hloc.x,Fourseam.hloc.y,Fourseam.maxmph.x,Fourseam.maxmph.y,Fourseam.mph.x,Fourseam.mph.y,Fourseam.pfx_x.x,Fourseam.pfx_x.y,Fourseam.pfx_z.x,Fourseam.pfx_z.y,Fourseam.vloc.x,Fourseam.vloc.y,Fourseam.x,Fourseam.y,mlbam_id,yearID,tjs_label
2.41,2.96,-0.11,0.06,90.25,89.2,84.06,81.91,-2.05,-2.59,3.32,3.47,-0.83,-1.11,956,338,3.70087769784173,3.47995575221239,8.21,5.8,0.1,0.15,93,91.92,89.8,88.48,2.49,1.89,9.85,10.74,0.23,0.15,926,517,120485,2013,0
8.65,7.26,0.39,0.17,93.53,93.67,90.42,89.4,1.39,1.52,3.81,3.6,-0.35,-0.45,185,248,3.16372832369942,3.06353608247423,4.15,8.54,0.46,0.48,100.22,100.26,96.73,95.98,-7.01,-6.86,8.79,9.32,0.26,0.12,193,316,150035,2011,0
5.06,4.5,0.49,0.3,88.07,89.23,84.09,85.42,1.03,1.09,1,1.33,-0.87,-0.78,672,422,3.54397183098592,3.45916751269036,5.5,4.79,0.22,0.44,92.14,93.36,89.91,90.68,-5.78,-6.35,6.73,7.06,0.32,0.16,382,334,218596,2014,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37274074074074,1.968,5.25,6.06,0.32,0.13,96.51,97.17,93.96,94.22,-7.45,-6.99,8.61,8.68,0.38,0.55,552,611,276351,2014,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26401408450704,2.9594262295082,4.84,5.56,0.7,0.72,98.49,97.33,94.55,94.81,-6.58,-6.03,9.55,10.12,0.29,0.4,661,684,276542,2012,0
5.11,5.97,0.49,0.33,94.08,92.98,90.93,89.76,-1.22,-0.63,7.91,6.3,-0.22,-0.06,137,553,4.66338461538462,4.15175146771037,4.76,7.16,0.56,0.43,95.13,95.1,92.94,92.11,-5.86,-5.87,9.14,8.93,0.12,0.01,210,517,277417,2013,0
4.4,4.77,0.53,0.74,91.98,90.88,88.69,87.01,-0.52,-0.89,7.5,7.11,-0.04,0.01,659,398,3.8522166064982,4.90973633440514,4.55,5.92,0.3,0.33,95.24,93.83,91.2,90.32,-4.43,-4.6,9.07,9.48,0.22,0.17,946,456,285064,2014,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59553846153846,3.95018181818182,3.03,6.91,0.65,0.51,92.17,95.17,90.52,92.66,-0.74,-0.78,12.12,11.64,0.39,-0.03,33,651,346797,2015,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9538487394958,4.07987919463087,5.15,1.61,0.17,0.03,92.22,92.63,90.17,90.53,-4.71,-3.17,10.04,10.44,0.48,0.67,194,62,346798,2014,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47907042253521,4.17644444444444,5.37,8.54,0.59,0.44,91.6,92.44,88.99,88.43,4.63,4.75,7.41,7.44,-0.07,-0.1,242,246,346847,2015,0
