"mlbam_id","year","Change","Fourseam","Slider","Curve","Sinker","Split","Cutter","Knuckler","Slow.Curve","Screwball"
450351,2012,327,988,327,497,847,NA,598,NA,NA,NA
450351,2011,283,1220,508,620,1049,NA,666,NA,NA,NA
450351,2010,408,1228,347,376,804,NA,799,NA,NA,NA
451216,2014,12,217,NA,93,120,NA,564,1,NA,NA
451216,2013,1,48,NA,7,39,NA,216,NA,NA,NA
451216,2012,NA,9,NA,12,12,NA,49,NA,NA,NA
451216,2011,2,244,NA,7,304,NA,476,NA,NA,NA
451216,2010,1,877,NA,5,17,NA,609,NA,NA,NA
543935,2015,16,251,51,NA,296,NA,386,NA,NA,NA
543935,2014,23,128,54,NA,74,NA,132,NA,NA,NA
543935,2013,19,220,124,NA,113,NA,NA,NA,NA,NA
425883,2011,91,471,254,183,301,NA,NA,NA,NA,NA
425883,2010,27,620,165,80,408,NA,NA,NA,NA,NA
430942,2011,6,54,NA,6,50,NA,25,NA,NA,NA
430942,2010,32,144,NA,89,56,NA,165,NA,NA,NA
573244,2015,13,14,1,4,3,NA,NA,NA,NA,NA
573244,2012,50,69,30,14,31,NA,NA,NA,NA,NA
573244,2011,43,118,58,13,10,NA,NA,NA,NA,NA
452666,2015,105,452,242,105,122,NA,NA,NA,NA,NA
452666,2014,110,557,137,195,196,NA,102,NA,NA,NA
452666,2013,117,591,29,256,125,NA,NA,NA,NA,NA
452666,2012,64,730,1,350,100,NA,NA,NA,NA,NA
452666,2011,2,330,44,141,82,NA,NA,NA,NA,NA
452666,2010,8,101,NA,32,NA,NA,NA,NA,NA,NA
457461,2011,NA,6,1,2,NA,NA,NA,NA,NA,NA
457461,2010,54,435,46,47,NA,NA,NA,NA,NA,NA
460128,2014,NA,22,8,NA,NA,8,NA,NA,NA,NA
460128,2011,NA,35,1,NA,NA,7,NA,NA,NA,NA
235095,2013,NA,73,21,9,NA,6,NA,NA,NA,NA
235095,2012,NA,135,86,15,NA,25,NA,NA,NA,NA
235095,2011,NA,362,315,72,NA,26,NA,NA,NA,NA
235095,2010,NA,356,194,136,NA,39,NA,NA,NA,NA
150414,2013,NA,8,NA,83,1245,336,227,NA,NA,NA
150414,2012,160,NA,1,211,1666,190,445,NA,NA,NA
150414,2011,360,NA,NA,257,1942,NA,482,NA,NA,NA
150414,2010,451,NA,4,498,2011,NA,323,NA,NA,NA
476811,2010,33,86,57,NA,31,NA,NA,NA,NA,NA
519411,2015,5,41,NA,11,NA,NA,NA,NA,NA,NA
519411,2014,12,69,NA,16,NA,NA,NA,NA,NA,NA
519411,2013,9,66,2,20,NA,NA,NA,NA,NA,NA
599819,2012,211,329,75,47,NA,NA,NA,NA,NA,NA
448694,2013,14,37,15,NA,13,NA,NA,NA,NA,NA
448694,2012,97,123,146,NA,163,NA,13,NA,NA,NA
448694,2011,393,625,482,NA,455,NA,200,NA,NA,NA
448694,2010,537,931,821,NA,784,NA,50,NA,NA,NA
150337,2012,79,77,110,104,266,NA,NA,NA,NA,NA
150337,2010,4,9,NA,1,8,NA,NA,NA,NA,NA
489413,2013,NA,43,NA,NA,NA,9,NA,NA,NA,NA
425487,2010,45,510,294,NA,212,NA,NA,NA,NA,NA
444992,2013,NA,11,9,NA,NA,NA,NA,NA,NA,NA
519405,2011,NA,1,NA,7,19,NA,NA,NA,NA,NA
519405,2010,3,131,84,NA,306,NA,NA,NA,NA,NA
475095,2012,20,118,6,32,65,NA,103,NA,NA,NA
475095,2011,43,130,22,71,182,NA,89,NA,NA,NA
543903,2015,106,145,79,7,176,NA,NA,NA,NA,NA
543903,2014,206,417,163,11,159,NA,NA,NA,NA,NA
543903,2013,138,230,51,16,100,NA,NA,NA,NA,NA
543903,2011,6,4,NA,1,5,NA,NA,NA,NA,NA
519403,2013,22,183,NA,120,NA,NA,2,NA,NA,NA
519403,2012,5,47,NA,22,NA,NA,10,NA,NA,NA
543901,2015,69,NA,NA,89,249,NA,NA,NA,NA,NA
444436,2015,100,1,149,NA,412,NA,NA,NA,NA,NA
444436,2014,65,NA,222,NA,428,NA,NA,NA,NA,NA
