yearID,playerID,HR,BB,HBP,SO,IPouts,FIP
2015,peavyja01,12,25,2,78,332,3.86592771084337
2015,wrighst01,12,27,1,52,218,5.00555963302752
2015,hembrhe01,5,9,0,15,76,5.58136842105263
2015,boxbebr01,9,32,2,74,189,4.26098412698413
2015,boydma01,17,20,1,43,172,6.58748837209302
2015,leakemi01,22,49,3,119,576,4.1965
2015,leathja01,0,7,1,14,35,2.79114285714286
2015,wrighwe01,1,3,0,5,22,4.77036363636364
2015,boyerbl01,5,19,0,33,195,3.99553846153846
2015,thatcjo01,1,12,0,26,68,3.00164705882353
2015,rucindr01,1,6,1,4,21,6.84828571428571
2015,yateski01,10,7,1,21,61,8.64219672131147
2015,hendrli01,3,11,2,71,194,2.14430927835052
2015,peraljo01,6,8,0,24,87,4.99606896551724
2015,brachsi01,2,4,1,17,37,3.70156756756757
2015,thayeda01,5,15,0,25,113,4.7269203539823
2015,youngch03,16,43,0,83,370,4.52048648648649
2015,peralwi01,14,37,4,60,326,4.83645398773006
2015,thielca01,0,0,0,5,15,1.134
2015,kenneia01,31,52,7,174,505,4.51221782178218
2015,bradlar01,3,22,2,23,107,4.95642990654206
2015,leech01,0,1,0,3,5,1.334
2015,thomaia01,2,11,0,23,70,3.69114285714286
2015,robinsh01,0,1,0,1,3,4.134
2015,hernafe02,23,58,9,191,605,3.71912396694215
2015,olsonty01,2,10,1,8,40,6.359
2015,meyeral01,2,3,0,3,8,14.009
2015,thompaa01,2,11,0,17,97,3.90719587628866
2015,friasca01,7,26,3,43,233,4.31854935622318
2015,leeza01,1,1,0,3,14,5.27685714285714
2015,breslcr01,12,23,2,46,195,5.27246153846154
2015,zieglbr01,3,17,1,36,204,3.44282352941176
2015,perezol01,4,15,4,51,123,3.30473170731707
2015,ryanky01,9,20,1,30,169,5.2641775147929
2015,westma03,0,1,0,2,9,2.80066666666667
2015,cottsne01,12,22,4,58,190,4.99715789473684
2015,zitoba01,4,6,0,2,21,12.5625714285714
2015,zychto01,1,3,2,24,55,2.04309090909091
