Cutter.bway.x,Cutter.bway.y,Cutter.hloc.x,Cutter.hloc.y,Cutter.maxmph.x,Cutter.maxmph.y,Cutter.mph.x,Cutter.mph.y,Cutter.pfx_x.x,Cutter.pfx_x.y,Cutter.pfx_z.x,Cutter.pfx_z.y,Cutter.vloc.x,Cutter.vloc.y,Cutter.x,Cutter.y,FIP.x,FIP.y,Fourseam.bway.x,Fourseam.bway.y,Fourseam.hloc.x,Fourseam.hloc.y,Fourseam.maxmph.x,Fourseam.maxmph.y,Fourseam.mph.x,Fourseam.mph.y,Fourseam.pfx_x.x,Fourseam.pfx_x.y,Fourseam.pfx_z.x,Fourseam.pfx_z.y,Fourseam.vloc.x,Fourseam.vloc.y,Fourseam.x,Fourseam.y,mlbam_id,yearID,tjs_label
8.65,7.26,0.39,0.17,93.53,93.67,90.42,89.4,1.39,1.52,3.81,3.6,-0.35,-0.45,185,248,3.16372832369942,3.06353608247423,4.15,8.54,0.46,0.48,100.22,100.26,96.73,95.98,-7.01,-6.86,8.79,9.32,0.26,0.12,193,316,150035,2011,0
2,5.49,0.2,0.36,85.31,87.64,82.45,83.16,-1.35,-0.95,3.75,4.36,-0.4,-0.16,100,492,3.91691780821918,4.20839100346021,7,8.37,-0.2,-0.17,91.11,91.58,88.03,88.03,7.25,6.67,10.24,10.46,0.05,0.27,357,1601,150404,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79473684210526,3.1169746835443,6.23,6.63,0.37,0.11,98.49,97.55,95.06,94.59,-3.82,-3.97,11.5,10.89,0.01,0.09,594,588,407911,2011,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89814960629921,3.79473684210526,5.16,6.23,0.24,0.37,98.78,98.49,94.96,95.06,-4.16,-3.82,10.7,11.5,-0.01,0.01,504,594,407911,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83111111111111,2.71802325581395,7.25,6.99,0.35,0.41,96.18,95.09,92.7,91.47,-2.7,-1.95,10.1,10.37,-0.22,-0.21,414,386,408061,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52072727272727,3.44916666666667,4.11,7.28,0.06,0.32,97.06,96.48,95.37,94.25,-0.59,0.2,11.38,10.76,0.55,0.34,316,426,430884,2013,0
14.29,0,1.11,-0.29,92.88,88.72,90.78,86.58,-0.62,-0.28,4.34,2.58,-0.76,-0.46,7,21,2.60754323001631,2.83637931034483,6.29,6.69,0.44,0.45,96.22,96.39,92.66,92.89,-2.4,-1.41,8.42,7.75,-0.02,0.03,636,1031,433587,2013,0
2.72,0,-0.18,0,94.82,0,89.9,0,2.91,0,6.91,0,-0.32,0,147,0,4.73272611464968,2.71136507936508,5.32,5.71,0.35,0.34,95.92,96.02,92.47,93.02,-0.67,-1.22,10.54,10.8,0.06,0.09,977,788,434671,2015,0
4.55,4.29,0.47,0.32,93.67,93.58,88.42,89.03,0.15,1.01,5.58,6.25,-0.45,-0.29,264,815,4.3945652173913,4.46194010889292,6.99,6.39,0.32,0.26,96.33,96.35,92.84,92.76,-6.73,-4.74,9.86,11.27,-0.02,0.04,415,1440,434678,2011,0
5.89,5.9,0.1,0.23,93.94,94.72,90.4,90.61,0.32,-0.31,4.09,4.87,0.14,-0.07,713,288,3.81467654986523,3.99375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444857,2012,0
7.21,6.54,0.38,0.2,91.52,92.95,87.86,88.8,1.82,1.44,4.51,3.93,0.05,0.06,1040,1024,4.1135157116451,4.02781651376147,8.93,6.86,0.5,0.3,91.95,93.52,89.48,90.62,-4.23,-4.18,8.49,7.54,-0.06,-0.17,56,102,444857,2014,0
0,0,0,-0.49,0,90.81,0,89.84,0,-2.19,0,7.72,0,-0.23,0,2,1.86200440528634,2.27542857142857,7.25,6.43,0.07,0.05,95.09,94.03,91.94,91.33,3.01,3.7,7.06,7.14,0.42,0.29,207,249,445156,2011,0
0,3.3,-0.16,0.02,87.87,91.85,86.68,87.36,-0.36,1.12,7.34,5.21,0.44,-0.15,5,182,5.09508086253369,4.03459845559846,6.23,5.56,-0.09,-0.02,94.22,96.17,89.48,90.96,4.05,3.69,10.46,9.68,0.3,0.2,706,1007,446399,2011,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.80928571428571,2.825,5.26,4.88,0.37,0.29,95.87,96.06,93.58,95,8.65,8.55,8.31,8.27,-0.24,-0.1,76,41,448722,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.30878378378378,5.52344444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450212,2011,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51872881355932,6.30878378378378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450212,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57036363636364,7.70342857142857,6.9,4.44,0.39,0.5,99.02,95.38,95.98,93.09,-8.75,-8.53,7.85,7.93,0.03,-0.44,449,45,450275,2015,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.191375,3.81905831533477,7.94,4.64,0.21,0.26,91.99,92.08,87.5,87.32,-0.1,-0.1,10.46,10.82,0.33,0.42,781,689,450308,2014,0
5.88,3.68,0.14,0.42,96.78,95.88,93.27,92.6,2.28,2.5,5.36,4.68,-0.32,-0.49,340,299,2.28746534653465,1.18755555555556,4.16,6.89,0.45,0.39,100.1,100.04,96.52,96.46,-2.18,-2.67,10.51,10.7,-0.07,0.19,601,900,451584,2015,0
