"mlbam_id","yearID","HR","BB","HBP","SO","IPouts","FIP","Change","Fourseam","Slider","Curve","Sinker","Split","Cutter","Knuckler","Slow.Curve","Screwball","Fourseam.bway","Change.bway","Slider.bway","Sinker.bway","Curve.bway","Split.bway","Cutter.bway","Knuckler.bway","Slow.Curve.bway","Screwball.bway","Fourseam.vloc","Change.vloc","Slider.vloc","Sinker.vloc","Curve.vloc","Split.vloc","Cutter.vloc","Knuckler.vloc","Slow.Curve.vloc","Screwball.vloc","Fourseam.hloc","Change.hloc","Slider.hloc","Sinker.hloc","Curve.hloc","Split.hloc","Cutter.hloc","Knuckler.hloc","Slow.Curve.hloc","Screwball.hloc","Fourseam.pfx_z","Change.pfx_z","Slider.pfx_z","Sinker.pfx_z","Curve.pfx_z","Split.pfx_z","Cutter.pfx_z","Knuckler.pfx_z","Slow.Curve.pfx_z","Screwball.pfx_z","Fourseam.pfx_x","Change.pfx_x","Slider.pfx_x","Sinker.pfx_x","Curve.pfx_x","Split.pfx_x","Cutter.pfx_x","Knuckler.pfx_x","Slow.Curve.pfx_x","Screwball.pfx_x","Fourseam.maxmph","Change.maxmph","Slider.maxmph","Sinker.maxmph","Curve.maxmph","Split.maxmph","Cutter.maxmph","Knuckler.maxmph","Slow.Curve.maxmph","Screwball.maxmph","Fourseam.mph","Change.mph","Slider.mph","Sinker.mph","Curve.mph","Split.mph","Cutter.mph","Knuckler.mph","Slow.Curve.mph","Screwball.mph"
502706,2012,32,52,3,145,526,4.75469581749049,174,1191,348,404,770,0,0,0,0,0,6.3,6.32,5.17,8.05,6.93,0,0,0,0,0,0.1,-0.65,-0.81,0.04,-0.7,0,0,0,0,0,-0.21,0.21,-0.09,0.12,-0.01,0,0,0,0,0,9.28,8.25,3.06,6.47,-0.85,0,0,0,0,0,8.89,9.17,2.81,11.04,-1.32,0,0,0,0,0,97.5,89.41,88.17,97.25,81.98,0,0,0,0,0,93.96,85.48,83.32,93.75,77.39,0,0,0,0,0
502706,2013,20,64,3,189,639,3.43767136150235,331,1351,812,170,801,0,0,0,0,0,6.29,5.14,4.68,6.74,7.65,0,0,0,0,0,0.27,-0.5,-1.06,0.1,-0.94,0,0,0,0,0,-0.26,0.17,-0.16,0.06,-0.13,0,0,0,0,0,9.89,9.74,3.64,7.85,-0.77,0,0,0,0,0,7.37,7.83,2.14,10.3,-1.52,0,0,0,0,0,97.62,89.34,87.98,98.34,82.07,0,0,0,0,0,94.51,83.86,83.66,94.41,76.69,0,0,0,0,0
502706,2014,0,5,0,25,111,2.18605405405405,18,217,150,72,113,0,0,0,0,0,3.69,0,0.67,4.42,6.94,0,0,0,0,0,0.03,-0.29,-1.11,-0.08,-0.9,0,0,0,0,0,-0.31,0.64,-0.34,-0.11,0.01,0,0,0,0,0,8.58,9.64,3.96,6.65,-0.85,0,0,0,0,0,8.13,7.83,3.19,9.73,-0.79,0,0,0,0,0,96.51,86.82,87.32,96.27,80.64,0,0,0,0,0,93.51,84.94,83.95,93.5,77.49,0,0,0,0,0
502706,2015,11,17,5,41,176,5.29877272727273,86,345,176,119,215,0,0,0,0,0,3.19,9.3,1.14,8.37,6.72,0,0,0,0,0,-0.05,-0.58,-1.04,-0.26,-1,0,0,0,0,0,-0.43,0.28,-0.41,0.17,-0.16,0,0,0,0,0,8.01,8.97,2.7,6.06,-1.58,0,0,0,0,0,8.12,7.86,2.36,10.62,-0.72,0,0,0,0,0,96.65,88.9,86.63,96.01,82.37,0,0,0,0,0,94.27,86.12,83.54,93.68,77.91,0,0,0,0,0
502748,2011,0,6,0,4,36,3.85833333333333,46,136,0,28,0,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0,-0.16,-0.72,0,0,-1.09,0,0,0,0,0,0.4,0.62,0,0,0.51,0,0,0,0,0,9.65,7.01,0,0,-8.61,0,0,0,0,0,-3.87,-7.02,0,0,7.66,0,0,0,0,0,96.18,85.86,0,0,79.15,0,0,0,0,0,93.4,83.31,0,0,75.6,0,0,0,0,0
502748,2013,15,37,3,77,250,4.98,138,952,155,268,22,0,0,0,0,0,6.2,4.35,1.29,0,3.36,0,0,0,0,0,-0.24,-0.54,-0.94,-0.68,-0.94,0,0,0,0,0,0.38,0.87,0.35,0.87,0.41,0,0,0,0,0,10.64,6.77,2.76,8.17,-8.66,0,0,0,0,0,-3.13,-7.79,2.38,-6.62,6.71,0,0,0,0,0,96.88,85.16,90.52,94.75,80.88,0,0,0,0,0,93.46,81.24,87.17,92.98,76.49,0,0,0,0,0
502748,2014,20,70,4,119,395,4.98516455696203,181,1353,354,435,7,0,0,0,0,0,5.99,1.66,6.21,0,4.37,0,0,0,0,0,-0.21,-0.56,-0.93,-1.38,-0.9,0,0,0,0,0,0.42,0.72,0.36,0.36,0.35,0,0,0,0,0,11.31,6.45,0.72,8.32,-7.38,0,0,0,0,0,-3.71,-7.53,3.76,-7.58,5.9,0,0,0,0,0,96.27,85.41,88.51,93.36,82.07,0,0,0,0,0,93.06,81.44,84.05,90.55,77.37,0,0,0,0,0
502748,2015,0,2,1,3,15,3.734,14,46,15,10,0,0,0,0,0,0,4.35,0,6.67,0,10,0,0,0,0,0,0.19,-0.74,-0.8,0,-0.97,0,0,0,0,0,0.41,0.75,0.56,0,-0.2,0,0,0,0,0,11.62,4.71,-1.85,0,-8.49,0,0,0,0,0,-2.43,-7.89,4.94,0,6.83,0,0,0,0,0,92.38,80.77,82.65,0,75.85,0,0,0,0,0,90.38,77.64,80.31,0,74.36,0,0,0,0,0
503285,2010,5,12,5,45,186,3.49835483870968,0,217,425,0,359,0,0,0,0,0,1.38,0,6.82,6.96,0,0,0,0,0,0,0.92,0,-0.35,-0.48,0,0,0,0,0,0,0.02,0,0.47,0.28,0,0,0,0,0,0,3.34,0,0.8,-3.77,0,0,0,0,0,0,-7.53,0,4.15,-7.18,0,0,0,0,0,0,90.37,0,82.27,90.16,0,0,0,0,0,0,87.61,0,79.29,86.26,0,0,0,0,0,0
503285,2011,7,5,2,18,50,7.585,0,90,151,0,125,0,0,0,0,0,2.22,0,7.28,8,0,0,0,0,0,0,0.85,0,-0.54,-0.54,0,0,0,0,0,0,0.12,0,0.35,0.39,0,0,0,0,0,0,3.23,0,1.78,-2.93,0,0,0,0,0,0,-7.73,0,3.86,-7.31,0,0,0,0,0,0,88.11,0,80.4,87.43,0,0,0,0,0,0,85.87,0,77.87,84.71,0,0,0,0,0,0
