mlbam_id,prev_yearID,yearID,key_bbref,birth_year,HR.x,BB.x,HBP.x,SO.x,IPouts.x,FIP.x,Change.x,Fourseam.x,Slider.x,Curve.x,Sinker.x,Split.x,Cutter.x,Knuckler.x,Slow.Curve.x,Screwball.x,Fourseam.bway.x,Change.bway.x,Slider.bway.x,Sinker.bway.x,Curve.bway.x,Split.bway.x,Cutter.bway.x,Knuckler.bway.x,Slow.Curve.bway.x,Screwball.bway.x,Fourseam.vloc.x,Change.vloc.x,Slider.vloc.x,Sinker.vloc.x,Curve.vloc.x,Split.vloc.x,Cutter.vloc.x,Knuckler.vloc.x,Slow.Curve.vloc.x,Screwball.vloc.x,Fourseam.hloc.x,Change.hloc.x,Slider.hloc.x,Sinker.hloc.x,Curve.hloc.x,Split.hloc.x,Cutter.hloc.x,Knuckler.hloc.x,Slow.Curve.hloc.x,Screwball.hloc.x,Fourseam.pfx_z.x,Change.pfx_z.x,Slider.pfx_z.x,Sinker.pfx_z.x,Curve.pfx_z.x,Split.pfx_z.x,Cutter.pfx_z.x,Knuckler.pfx_z.x,Slow.Curve.pfx_z.x,Screwball.pfx_z.x,Fourseam.pfx_x.x,Change.pfx_x.x,Slider.pfx_x.x,Sinker.pfx_x.x,Curve.pfx_x.x,Split.pfx_x.x,Cutter.pfx_x.x,Knuckler.pfx_x.x,Slow.Curve.pfx_x.x,Screwball.pfx_x.x,Fourseam.maxmph.x,Change.maxmph.x,Slider.maxmph.x,Sinker.maxmph.x,Curve.maxmph.x,Split.maxmph.x,Cutter.maxmph.x,Knuckler.maxmph.x,Slow.Curve.maxmph.x,Screwball.maxmph.x,Fourseam.mph.x,Change.mph.x,Slider.mph.x,Sinker.mph.x,Curve.mph.x,Split.mph.x,Cutter.mph.x,Knuckler.mph.x,Slow.Curve.mph.x,Screwball.mph.x,HR.y,BB.y,HBP.y,SO.y,IPouts.y,FIP.y,Change.y,Fourseam.y,Slider.y,Curve.y,Sinker.y,Split.y,Cutter.y,Knuckler.y,Slow.Curve.y,Screwball.y,Fourseam.bway.y,Change.bway.y,Slider.bway.y,Sinker.bway.y,Curve.bway.y,Split.bway.y,Cutter.bway.y,Knuckler.bway.y,Slow.Curve.bway.y,Screwball.bway.y,Fourseam.vloc.y,Change.vloc.y,Slider.vloc.y,Sinker.vloc.y,Curve.vloc.y,Split.vloc.y,Cutter.vloc.y,Knuckler.vloc.y,Slow.Curve.vloc.y,Screwball.vloc.y,Fourseam.hloc.y,Change.hloc.y,Slider.hloc.y,Sinker.hloc.y,Curve.hloc.y,Split.hloc.y,Cutter.hloc.y,Knuckler.hloc.y,Slow.Curve.hloc.y,Screwball.hloc.y,Fourseam.pfx_z.y,Change.pfx_z.y,Slider.pfx_z.y,Sinker.pfx_z.y,Curve.pfx_z.y,Split.pfx_z.y,Cutter.pfx_z.y,Knuckler.pfx_z.y,Slow.Curve.pfx_z.y,Screwball.pfx_z.y,Fourseam.pfx_x.y,Change.pfx_x.y,Slider.pfx_x.y,Sinker.pfx_x.y,Curve.pfx_x.y,Split.pfx_x.y,Cutter.pfx_x.y,Knuckler.pfx_x.y,Slow.Curve.pfx_x.y,Screwball.pfx_x.y,Fourseam.maxmph.y,Change.maxmph.y,Slider.maxmph.y,Sinker.maxmph.y,Curve.maxmph.y,Split.maxmph.y,Cutter.maxmph.y,Knuckler.maxmph.y,Slow.Curve.maxmph.y,Screwball.maxmph.y,Fourseam.mph.y,Change.mph.y,Slider.mph.y,Sinker.mph.y,Curve.mph.y,Split.mph.y,Cutter.mph.y,Knuckler.mph.y,Slow.Curve.mph.y,Screwball.mph.y
150035,2010,2011,farnsky01,1976,5,12,3,51,173,3.16372832369942,0,193,174,0,325,0,185,0,0,0,4.15,0,6.9,6.46,0,0,8.65,0,0,0,0.26,0,-0.6,-0.44,0,0,-0.35,0,0,0,0.46,0,0.31,0.28,0,0,0.39,0,0,0,8.79,0,0.21,5.83,0,0,3.81,0,0,0,-7.01,0,2.84,-9.24,0,0,1.39,0,0,0,100.22,0,90.7,100.36,0,0,93.53,0,0,0,96.73,0,87.14,94.12,0,0,90.42,0,0,0,4,19,4,61,194,3.06353608247423,9,316,143,0,483,0,248,0,0,0,8.54,0,8.39,5.59,0,0,7.26,0,0,0,0.12,-0.66,-0.69,-0.36,0,0,-0.45,0,0,0,0.48,0.96,0.31,0.39,0,0,0.17,0,0,0,9.32,6.79,-0.55,6.07,0,0,3.6,0,0,0,-6.86,-6.54,3.53,-9.15,0,0,1.52,0,0,0,100.26,87.38,91.17,98.88,0,0,93.67,0,0,0,95.98,86.03,85.45,93.64,0,0,89.4,0,0,0
150035,2013,2014,farnsky01,1976,2,15,0,18,86,4.35293023255814,6,159,105,0,189,0,7,0,0,0,8.81,16.67,2.86,3.7,0,0,0,0,0,0,0.21,-0.34,-0.9,-0.55,0,0,-0.43,0,0,0,0.29,0.2,0.51,0.37,0,0,0.38,0,0,0,7.96,5.09,0.85,5.09,0,0,5.87,0,0,0,-6.08,-7.98,2.32,-8.79,0,0,-1.87,0,0,0,97.72,91.6,89.14,97.06,0,0,94.64,0,0,0,95.09,89.51,85.66,92.09,0,0,89.77,0,0,0,5,10,1,28,115,4.14365217391304,46,127,92,0,196,0,127,0,0,0,6.3,10.87,5.43,5.1,0,0,4.72,0,0,0,0.21,-0.46,-0.98,-0.38,0,0,-0.55,0,0,0,0.49,0.39,0.15,0.3,0,0,0.27,0,0,0,8.08,5.39,-0.49,5.21,0,0,2.84,0,0,0,-6.35,-7.98,2.63,-8.88,0,0,1.43,0,0,0,97.38,92.9,88.72,97.26,0,0,92.69,0,0,0,94.97,89.27,84.64,92.65,0,0,87.21,0,0,0
150407,2011,2012,motagu01,1973,3,8,2,24,62,4.11112903225806,108,260,92,0,0,0,0,0,0,0,5,0,6.52,0,0,0,0,0,0,0,0.1,-0.94,-0.94,0,0,0,0,0,0,0,0.54,0.21,0.73,0,0,0,0,0,0,0,7.83,3.41,2.3,0,0,0,0,0,0,0,-7.69,-8.79,3.13,0,0,0,0,0,0,0,94.96,90.7,87.29,0,0,0,0,0,0,0,92.85,85.14,84.47,0,0,0,0,0,0,0,10,30,2,77,241,3.92126556016597,246,777,321,0,0,0,0,0,0,0,5.41,1.22,8.1,0,0,0,0,0,0,0,0.09,-1.04,-0.62,0,0,0,0,0,0,0,0.41,0.35,0.69,0,0,0,0,0,0,0,7.04,2.83,3.09,0,0,0,0,0,0,0,-8.35,-9.03,2.5,0,0,0,0,0,0,0,96.32,89.43,89.99,0,0,0,0,0,0,0,93.56,86.01,85.89,0,0,0,0,0,0,0
276514,2014,2015,greggke01,1978,3,5,0,14,32,5.5715,0,132,0,26,0,31,24,0,0,0,10.61,0,0,0,0,0,4.17,0,0,0,-0.3,0,0,0,-1.49,-1.45,-1.02,0,0,0,0.41,0,0,0,0.61,1,0.74,0,0,0,9.52,0,0,0,-1.9,4.85,6.62,0,0,0,-7.57,0,0,0,3.55,-7.51,-0.54,0,0,0,94.04,0,0,0,84.41,86.73,91,0,0,0,91.85,0,0,0,80.34,84.34,88.93,0,0,0,2,5,0,6,27,6.35422222222222,0,101,0,16,0,10,36,0,0,0,6.93,0,0,0,0,0,5.56,0,0,0,-0.21,0,0,0,-1.23,-1.36,-0.35,0,0,0,0.42,0,0,0,0.86,0.72,0.37,0,0,0,8.4,0,0,0,-3.11,2.35,5.93,0,0,0,-7.78,0,0,0,3.97,-6.57,0.39,0,0,0,94.36,0,0,0,80.42,83.93,90,0,0,0,91.35,0,0,0,78.96,82.13,86.34,0,0,0
400089,2010,2011,soriara01,1979,4,18,1,36,118,3.96567796610169,1,425,217,0,54,0,0,0,0,0,7.06,0,5.07,3.7,0,0,0,0,0,0,0.17,-0.63,-0.72,-0.26,0,0,0,0,0,0,0.4,1.39,0.4,0.87,0,0,0,0,0,0,9.24,2.8,-0.27,7.25,0,0,0,0,0,0,-1.72,-4.84,3.83,-7.55,0,0,0,0,0,0,96.76,88.77,87.07,97.94,0,0,0,0,0,0,92.89,88.77,81.91,93.89,0,0,0,0,0,0,4,14,1,57,187,2.80627272727273,1,674,205,0,78,0,0,0,0,0,7.12,0,7.8,1.28,0,0,0,0,0,0,0.14,1.03,-0.9,-0.09,0,0,0,0,0,0,0.31,2.12,0.37,1.01,0,0,0,0,0,0,9.54,5.45,1.45,8.05,0,0,0,0,0,0,-1.49,-6.48,3.81,-8.1,0,0,0,0,0,0,97.39,87.95,88.97,97.01,0,0,0,0,0,0,93.29,87.94,84.16,94.63,0,0,0,0,0,0
407819,2012,2013,thornma01,1976,4,15,2,30,130,4.04030769230769,0,455,36,129,82,3,0,0,0,0,4.4,0,2.78,4.88,3.88,0,0,0,0,0,0.1,0,-1.15,-0.17,-1.15,0.29,0,0,0,0,0.01,0,0.24,0.14,-0.03,1.44,0,0,0,0,8.9,0,3.9,8.95,-1.56,6.03,0,0,0,0,2.76,0,-0.43,7.27,-0.29,4.91,0,0,0,0,97.61,0,88.51,96.64,85.38,88.99,0,0,0,0,95.1,0,86.46,94.81,82.85,88.43,0,0,0,0,4,17,3,53,195,3.18730769230769,0,696,53,190,74,0,0,0,0,0,6.47,0,7.55,0,1.58,0,0,0,0,0,0.14,0,-0.43,-0.12,-1.06,0,0,0,0,0,0.11,0,0.01,-0.71,0.56,0,0,0,0,0,8.72,0,3.96,8.21,-2.26,0,0,0,0,0,2.48,0,0.4,7.48,-0.37,0,0,0,0,0,98.31,0,91.01,97.57,85.86,0,0,0,0,0,95.63,0,87.73,95.25,81.71,0,0,0,0,0
407819,2014,2015,thornma01,1976,2,11,1,23,124,3.52109677419355,0,414,0,103,0,59,2,0,0,0,4.83,0,0,0,3.88,8.47,0,0,0,0,0.14,0,0,0,-0.94,-1.24,0.79,0,0,0,0.09,0,0,0,0.99,0.04,-0.82,0,0,0,8.84,0,0,0,1.49,5.14,5.69,0,0,0,7.77,0,0,0,0.06,8.75,0.1,0,0,0,96.6,0,0,0,86.48,89.51,91.65,0,0,0,94.15,0,0,0,83.92,87.54,91.54,0,0,0,0,8,5,28,108,2.65977777777778,0,396,3,46,166,43,0,0,0,0,7.07,0,0,4.22,4.35,2.33,0,0,0,0,0.25,0,0.46,-0.18,-1.06,-0.69,0,0,0,0,0.25,0,1.12,0.15,0.76,0.48,0,0,0,0,9.95,0,3.11,8.87,-0.41,4.03,0,0,0,0,5.48,0,3.45,8.94,-0.24,7.36,0,0,0,0,98.15,0,90.27,98.69,86,91.62,0,0,0,0,96.13,0,89.79,96.1,83.85,90.06,0,0,0,0
407842,2013,2014,verasjo01,1980,6,27,3,50,138,4.61026086956522,113,503,0,228,0,0,0,0,0,0,8.35,1.77,0,0,3.95,0,0,0,0,0,-0.06,-0.51,0,0,-0.87,0,0,0,0,0,0.37,0.72,0,0,0.4,0,0,0,0,0,7.04,0.85,0,0,-5.62,0,0,0,0,0,-8.93,-8.75,0,0,10.1,0,0,0,0,0,96.17,87.41,0,0,80.07,0,0,0,0,0,93.74,84.31,0,0,76.79,0,0,0,0,0,6,22,4,60,188,3.62246808510638,161,598,0,358,0,0,0,0,0,0,8.03,0,0,0,3.63,0,0,0,0,0,-0.16,-0.6,0,0,-0.86,0,0,0,0,0,0.43,0.91,0,0,0.24,0,0,0,0,0,7.35,1.85,0,0,-5.69,0,0,0,0,0,-8.63,-8.71,0,0,9.67,0,0,0,0,0,97.34,87.64,0,0,80.43,0,0,0,0,0,94.37,84.71,0,0,77.74,0,0,0,0,0
407890,2014,2015,lewisco01,1979,26,42,11,142,614,4.17471661237785,187,1172,1127,251,436,0,0,0,0,0,6.83,4.81,4.7,1.83,4.38,0,0,0,0,0,-0.13,-0.54,-0.83,-0.35,-0.57,0,0,0,0,0,0.24,0.74,0.35,0.71,0.32,0,0,0,0,0,10.91,7.75,2.38,8.24,-4.21,0,0,0,0,0,-3.87,-7.09,2.58,-7.45,6.32,0,0,0,0,0,92.43,87.08,90.09,91.59,82.74,0,0,0,0,0,89.34,84.16,83.56,88.29,77.84,0,0,0,0,0,25,48,8,133,511,4.46468101761252,215,1441,640,233,365,0,0,0,0,0,5.69,1.86,6.25,2.47,5.15,0,0,0,0,0,-0.07,-0.63,-0.77,-0.37,-0.78,0,0,0,0,0,0.34,0.75,0.31,0.9,0.38,0,0,0,0,0,10.65,7.25,1.95,8.16,-5.79,0,0,0,0,0,-4.22,-7.68,2.05,-7.71,6.05,0,0,0,0,0,93.13,86.97,87.25,92.56,81.23,0,0,0,0,0,89.76,84.19,83.74,88.71,77.68,0,0,0,0,0
407911,2010,2011,francfr01,1979,7,18,0,53,152,3.79473684210526,0,594,1,88,0,171,0,0,0,0,6.23,0,0,0,5.68,4.09,0,0,0,0,0.01,0,0.8,0,-0.26,-0.59,0,0,0,0,0.37,0,1.42,0,0.22,0.46,0,0,0,0,11.5,0,5.14,0,-6.42,5.76,0,0,0,0,-3.82,0,2.59,0,4.41,-5.03,0,0,0,0,98.49,0,84.26,0,83.18,89.07,0,0,0,0,95.06,0,84.26,0,79.28,86.54,0,0,0,0,5,18,1,60,158,3.1169746835443,0,588,14,87,0,203,0,0,0,0,6.63,0,0,0,1.15,5.42,0,0,0,0,0.09,0,0.26,0,-1.06,-0.3,0,0,0,0,0.11,0,0.21,0,0.08,0.19,0,0,0,0,10.89,0,4.3,0,-6.21,5.1,0,0,0,0,-3.97,0,2.12,0,3.32,-4.77,0,0,0,0,97.55,0,87.21,0,83.87,89.15,0,0,0,0,94.59,0,85.38,0,80.14,86.49,0,0,0,0
