mlbam_id,prev_yearID,yearID,key_bbref,birth_year,HR.x,BB.x,HBP.x,SO.x,IPouts.x,FIP.x,Change.x,Fourseam.x,Slider.x,Curve.x,Sinker.x,Split.x,Cutter.x,Knuckler.x,Slow.Curve.x,Screwball.x,Fourseam.bway.x,Change.bway.x,Slider.bway.x,Sinker.bway.x,Curve.bway.x,Split.bway.x,Cutter.bway.x,Knuckler.bway.x,Slow.Curve.bway.x,Screwball.bway.x,Fourseam.vloc.x,Change.vloc.x,Slider.vloc.x,Sinker.vloc.x,Curve.vloc.x,Split.vloc.x,Cutter.vloc.x,Knuckler.vloc.x,Slow.Curve.vloc.x,Screwball.vloc.x,Fourseam.hloc.x,Change.hloc.x,Slider.hloc.x,Sinker.hloc.x,Curve.hloc.x,Split.hloc.x,Cutter.hloc.x,Knuckler.hloc.x,Slow.Curve.hloc.x,Screwball.hloc.x,Fourseam.pfx_z.x,Change.pfx_z.x,Slider.pfx_z.x,Sinker.pfx_z.x,Curve.pfx_z.x,Split.pfx_z.x,Cutter.pfx_z.x,Knuckler.pfx_z.x,Slow.Curve.pfx_z.x,Screwball.pfx_z.x,Fourseam.pfx_x.x,Change.pfx_x.x,Slider.pfx_x.x,Sinker.pfx_x.x,Curve.pfx_x.x,Split.pfx_x.x,Cutter.pfx_x.x,Knuckler.pfx_x.x,Slow.Curve.pfx_x.x,Screwball.pfx_x.x,Fourseam.maxmph.x,Change.maxmph.x,Slider.maxmph.x,Sinker.maxmph.x,Curve.maxmph.x,Split.maxmph.x,Cutter.maxmph.x,Knuckler.maxmph.x,Slow.Curve.maxmph.x,Screwball.maxmph.x,Fourseam.mph.x,Change.mph.x,Slider.mph.x,Sinker.mph.x,Curve.mph.x,Split.mph.x,Cutter.mph.x,Knuckler.mph.x,Slow.Curve.mph.x,Screwball.mph.x,HR.y,BB.y,HBP.y,SO.y,IPouts.y,FIP.y,Change.y,Fourseam.y,Slider.y,Curve.y,Sinker.y,Split.y,Cutter.y,Knuckler.y,Slow.Curve.y,Screwball.y,Fourseam.bway.y,Change.bway.y,Slider.bway.y,Sinker.bway.y,Curve.bway.y,Split.bway.y,Cutter.bway.y,Knuckler.bway.y,Slow.Curve.bway.y,Screwball.bway.y,Fourseam.vloc.y,Change.vloc.y,Slider.vloc.y,Sinker.vloc.y,Curve.vloc.y,Split.vloc.y,Cutter.vloc.y,Knuckler.vloc.y,Slow.Curve.vloc.y,Screwball.vloc.y,Fourseam.hloc.y,Change.hloc.y,Slider.hloc.y,Sinker.hloc.y,Curve.hloc.y,Split.hloc.y,Cutter.hloc.y,Knuckler.hloc.y,Slow.Curve.hloc.y,Screwball.hloc.y,Fourseam.pfx_z.y,Change.pfx_z.y,Slider.pfx_z.y,Sinker.pfx_z.y,Curve.pfx_z.y,Split.pfx_z.y,Cutter.pfx_z.y,Knuckler.pfx_z.y,Slow.Curve.pfx_z.y,Screwball.pfx_z.y,Fourseam.pfx_x.y,Change.pfx_x.y,Slider.pfx_x.y,Sinker.pfx_x.y,Curve.pfx_x.y,Split.pfx_x.y,Cutter.pfx_x.y,Knuckler.pfx_x.y,Slow.Curve.pfx_x.y,Screwball.pfx_x.y,Fourseam.maxmph.y,Change.maxmph.y,Slider.maxmph.y,Sinker.maxmph.y,Curve.maxmph.y,Split.maxmph.y,Cutter.maxmph.y,Knuckler.maxmph.y,Slow.Curve.maxmph.y,Screwball.maxmph.y,Fourseam.mph.y,Change.mph.y,Slider.mph.y,Sinker.mph.y,Curve.mph.y,Split.mph.y,Cutter.mph.y,Knuckler.mph.y,Slow.Curve.mph.y,Screwball.mph.y
115817,2011,2012,hernali01,1975,15,16,1,48,202,5.32272277227723,65,93,0,173,450,0,282,0,34,0,1.08,3.08,0,4.22,4.05,0,5.32,0,0,0,0.27,-0.89,0,-0.23,-0.68,0,-0.72,0,-1.11,0,0.76,0.94,0,0.83,0.77,0,0.79,0,0.33,0,9.42,3.89,0,6.06,-4.95,0,3.61,0,-4.79,0,-5.31,-7.14,0,-8.2,9.14,0,1.76,0,8.48,0,87.59,84,0,88.05,72.81,0,83.98,0,66.28,0,84.92,78.48,0,84.56,68.38,0,80.19,0,63.71,0,16,46,5,99,526,3.95465779467681,265,236,0,294,1041,0,718,0,107,0,2.97,3.4,0,5.19,7.48,0,4.6,0,6.54,0,-0.01,-0.93,0,-0.26,-0.43,0,-0.59,0,-0.74,0,0.78,1.03,0,0.71,0.6,0,0.58,0,0.59,0,9.44,3.63,0,6.39,-5.22,0,3.63,0,-4.66,0,-5.55,-7.25,0,-8.12,9.06,0,1.67,0,9.24,0,88.21,81.74,0,88.27,73.55,0,84.19,0,66.5,0,84.33,78.2,0,84.37,68.33,0,79.38,0,62.76,0
120485,2012,2013,pettian01,1972,17,48,4,128,556,3.70087769784173,224,926,0,386,481,0,956,0,0,0,8.21,1.79,0,4.57,6.74,0,2.41,0,0,0,0.23,-0.87,0,-0.39,-0.36,0,-0.83,0,0,0,0.1,0.4,0,0.33,0.37,0,-0.11,0,0,0,9.85,3.27,0,7.12,-1.75,0,3.32,0,0,0,2.49,9.08,0,8.19,-6.22,0,-2.05,0,0,0,93,86.28,0,92.51,82.43,0,90.25,0,0,0,89.8,80.9,0,89.47,75.64,0,84.06,0,0,0,8,21,0,69,226,3.47995575221239,113,517,0,159,203,0,338,0,0,0,5.8,0.89,0,3.45,6.29,0,2.96,0,0,0,0.15,-1,0,-0.44,-0.23,0,-1.11,0,0,0,0.15,0.43,0,0.24,0.48,0,0.06,0,0,0,10.74,4.04,0,8.41,-0.96,0,3.47,0,0,0,1.89,8.65,0,8.51,-6.98,0,-2.59,0,0,0,91.92,84.46,0,91.13,78.42,0,89.2,0,0,0,88.48,80.25,0,88.74,74.36,0,81.91,0,0,0
121250,2012,2013,NA,NA,6,9,1,54,192,3.048,0,0,0,0,100,0,853,0,0,0,0,0,0,4,0,0,3.28,0,0,0,0,0,0,-0.23,0,0,0.05,0,0,0,0,0,0,-0.84,0,0,0.15,0,0,0,0,0,0,5.57,0,0,7.08,0,0,0,0,0,0,-4.65,0,0,2.3,0,0,0,0,0,0,94.8,0,0,94.49,0,0,0,0,0,0,92.63,0,0,91.63,0,0,0,0,2,0,8,25,1.895,0,0,0,0,18,0,121,0,0,0,0,0,0,0,0,0,6.61,0,0,0,0,0,0,-0.09,0,0,-0.08,0,0,0,0,0,0,-0.58,0,0,0.18,0,0,0,0,0,0,4.63,0,0,7.94,0,0,0,0,0,0,-4.67,0,0,2.07,0,0,0,0,0,0,92.8,0,0,93.81,0,0,0,0,0,0,91.45,0,0,91.49,0,0,0
133225,2012,2013,dempsry01,1977,26,79,6,157,514,4.6764046692607,0,1452,839,0,43,537,161,0,0,0,3.93,0,4.29,2.33,0,2.79,3.11,0,0,0,0.17,0,-0.48,0.04,0,-0.63,0.04,0,0,0,0.41,0,0.32,0.86,0,0.42,0.34,0,0,0,9.49,0,1.62,6.27,0,5.56,6.8,0,0,0,-5.43,0,2.22,-7.69,0,-6.61,-1.15,0,0,0,93.78,0,88.2,91.64,0,85.76,92.11,0,0,0,90.09,0,84.52,88.67,0,81.66,88.43,0,0,0,19,52,2,153,519,3.69037572254335,0,489,810,0,727,359,360,0,0,0,6.14,0,6.3,4.95,0,3.34,4.17,0,0,0,0.31,0,-0.54,0.06,0,-0.89,-0.31,0,0,0,0.3,0,0.44,0.37,0,0.37,0.37,0,0,0,10.49,0,2.01,8.54,0,4.39,5.43,0,0,0,-4.08,0,1.98,-6.65,0,-5.76,-1.05,0,0,0,94.42,0,89.14,93.87,0,87.29,90.81,0,0,0,91.04,0,85.21,90.29,0,82.2,87.9,0,0,0
150035,2010,2011,farnsky01,1976,5,12,3,51,173,3.16372832369942,0,193,174,0,325,0,185,0,0,0,4.15,0,6.9,6.46,0,0,8.65,0,0,0,0.26,0,-0.6,-0.44,0,0,-0.35,0,0,0,0.46,0,0.31,0.28,0,0,0.39,0,0,0,8.79,0,0.21,5.83,0,0,3.81,0,0,0,-7.01,0,2.84,-9.24,0,0,1.39,0,0,0,100.22,0,90.7,100.36,0,0,93.53,0,0,0,96.73,0,87.14,94.12,0,0,90.42,0,0,0,4,19,4,61,194,3.06353608247423,9,316,143,0,483,0,248,0,0,0,8.54,0,8.39,5.59,0,0,7.26,0,0,0,0.12,-0.66,-0.69,-0.36,0,0,-0.45,0,0,0,0.48,0.96,0.31,0.39,0,0,0.17,0,0,0,9.32,6.79,-0.55,6.07,0,0,3.6,0,0,0,-6.86,-6.54,3.53,-9.15,0,0,1.52,0,0,0,100.26,87.38,91.17,98.88,0,0,93.67,0,0,0,95.98,86.03,85.45,93.64,0,0,89.4,0,0,0
150118,2011,2012,fuentbr01,1975,6,15,1,24,90,5.695,92,400,33,0,0,0,0,0,0,0,6.25,2.17,0,0,0,0,0,0,0,0,-0.2,-0.53,-1.15,0,0,0,0,0,0,0,0.25,0.48,1.2,0,0,0,0,0,0,0,6.73,1.91,-2.8,0,0,0,0,0,0,0,10.45,9.24,-1.2,0,0,0,0,0,0,0,94.13,76.79,79.22,0,0,0,0,0,0,0,91.31,74.78,75.79,0,0,0,0,0,0,0,6,20,4,42,175,4.15642857142857,175,731,56,0,0,0,0,0,0,0,5.75,3.43,1.79,0,0,0,0,0,0,0,-0.02,-0.53,-0.69,0,0,0,0,0,0,0,0.3,0.52,0.96,0,0,0,0,0,0,0,6.76,1.49,-2.47,0,0,0,0,0,0,0,10.49,8.9,-2.58,0,0,0,0,0,0,0,93,76.32,78.08,0,0,0,0,0,0,0,90.38,74.11,74.79,0,0,0,0,0,0,0
218596,2014,2015,hudsoti01,1975,13,37,7,64,371,4.5329218328841,0,251,0,210,755,173,452,0,0,0,7.57,0,0,5.83,3.81,2.31,4.42,0,0,0,0.35,0,0,-0.44,-0.87,-0.8,-0.83,0,0,0,0.24,0,0,0.21,0.41,0.6,0.51,0,0,0,6.45,0,0,2.27,-3.98,0.89,0.26,0,0,0,-5.63,0,0,-8.28,7.72,-6.73,1.27,0,0,0,91.88,0,0,92.38,80.22,85.75,87.05,0,0,0,89.2,0,0,89.2,76.22,81.28,83.22,0,0,0,15,34,7,120,568,3.54397183098592,379,382,3,235,1267,60,672,0,0,0,5.5,2.64,0,6,2.98,0,5.06,0,0,0,0.32,-0.91,-1.05,-0.47,-0.69,-1.22,-0.87,0,0,0,0.22,0.47,0.38,0.24,0.49,0.49,0.49,0,0,0,6.73,0.41,-1.91,2.68,-4.28,1.03,1,0,0,0,-5.78,-6.62,4.34,-8.36,8.29,-7.01,1.03,0,0,0,92.14,84.72,82.29,92.38,80.26,85.64,88.07,0,0,0,89.91,81.26,81.75,89.68,76.14,83.2,84.09,0,0,0
239795,2012,2013,durbich01,1977,4,9,0,16,48,5.9855,23,25,0,44,127,0,121,0,0,0,0,4.35,0,3.15,6.82,0,2.48,0,0,0,0.2,-0.59,0,-0.39,-1.12,0,-0.17,0,0,0,0.24,0.65,0,-0.06,0.24,0,0.26,0,0,0,9.67,3.96,0,5.44,-8.11,0,5.82,0,0,0,-3.22,-6.42,0,-7.19,6.69,0,2.23,0,0,0,90.9,86.45,0,92.82,79.91,0,91.73,0,0,0,89.43,82.77,0,89.76,76.63,0,87.58,0,0,0,9,28,0,49,183,4.78352459016393,64,34,0,78,440,0,372,0,0,0,2.94,0,0,4.09,1.28,0,6.99,0,0,0,-0.03,-0.9,0,-0.48,-0.71,0,-0.39,0,0,0,0.08,0.9,0,0.34,0.55,0,0.34,0,0,0,8.99,4.91,0,5.58,-8.08,0,4.98,0,0,0,-2.07,-5.4,0,-7.18,7.18,0,2.55,0,0,0,92.7,85.02,0,93.89,80.89,0,92.86,0,0,0,90.79,82.42,0,91.23,77.3,0,88.59,0,0,0
276351,2012,2013,grillja01,1976,4,13,1,74,150,1.968,3,611,286,0,0,0,0,0,0,0,6.06,0,3.5,0,0,0,0,0,0,0,0.55,0.07,-0.73,0,0,0,0,0,0,0,0.13,1.43,0.51,0,0,0,0,0,0,0,8.68,5.73,0.06,0,0,0,0,0,0,0,-6.99,-9.03,6.47,0,0,0,0,0,0,0,97.17,87.08,86.81,0,0,0,0,0,0,0,94.22,85.27,83.52,0,0,0,0,0,0,0,7,22,2,90,176,2.80522727272727,0,715,277,0,0,0,0,0,0,0,10.21,0,5.05,0,0,0,0,0,0,0,0.25,0,-0.79,0,0,0,0,0,0,0,0.22,0,0.25,0,0,0,0,0,0,0,8.88,0,0.02,0,0,0,0,0,0,0,-7.03,0,6.42,0,0,0,0,0,0,0,97.11,0,87.64,0,0,0,0,0,0,0,94.66,0,83.43,0,0,0,0,0,0,0
277417,2011,2012,beckejo02,1980,21,52,5,132,511,4.15175146771037,289,517,22,474,741,18,553,0,0,0,7.16,2.42,4.55,6.48,2.95,11.11,5.97,0,0,0,0.01,-0.66,-0.38,-0.03,-0.77,-0.18,-0.06,0,0,0,0.43,0.66,0.57,0.4,0.48,0.73,0.33,0,0,0,8.93,2.48,1.55,5.26,-8.16,2.88,6.3,0,0,0,-5.87,-8.32,-2.12,-9.08,7.37,-4.28,-0.63,0,0,0,95.1,90,88.34,94.78,81.05,87.81,92.98,0,0,0,92.11,87.36,86.18,92.19,76.32,85.85,89.76,0,0,0,21,52,9,175,579,3.57422279792746,442,993,0,512,527,0,570,0,0,0,7.05,1.58,0,6.64,5.47,0,7.89,0,0,0,0.36,-0.67,0,-0.02,-0.72,0,-0.16,0,0,0,0.49,0.6,0,0.18,0.22,0,0.09,0,0,0,9.14,2.94,0,5.5,-8.04,0,5.14,0,0,0,-5.2,-8.02,0,-8.88,7.94,0,0.83,0,0,0,96.99,91.99,0,95.82,82.57,0,95.48,0,0,0,93.71,89.14,0,93.79,77.94,0,90.97,0,0,0
