Cutter.bway.x,Cutter.bway.y,Cutter.hloc.x,Cutter.hloc.y,Cutter.maxmph.x,Cutter.maxmph.y,Cutter.mph.x,Cutter.mph.y,Cutter.pfx_x.x,Cutter.pfx_x.y,Cutter.pfx_z.x,Cutter.pfx_z.y,Cutter.vloc.x,Cutter.vloc.y,Cutter.x,Cutter.y,FIP.x,FIP.y,Fourseam.bway.x,Fourseam.bway.y,Fourseam.hloc.x,Fourseam.hloc.y,Fourseam.maxmph.x,Fourseam.maxmph.y,Fourseam.mph.x,Fourseam.mph.y,Fourseam.pfx_x.x,Fourseam.pfx_x.y,Fourseam.pfx_z.x,Fourseam.pfx_z.y,Fourseam.vloc.x,Fourseam.vloc.y,Fourseam.x,Fourseam.y,mlbam_id,yearID,tjs_label
0,5,0.7,0.62,81.67,89.48,81.67,86.08,4.53,-0.66,4.45,7.06,-0.64,-0.15,1,40,3.13977611940299,3.36490147783251,3.83,6.19,0.63,0.66,93.82,94.75,91.05,91.44,-4.99,-5.25,11.72,11.68,0.18,0.04,470,582,407908,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79473684210526,3.1169746835443,6.23,6.63,0.37,0.11,98.49,97.55,95.06,94.59,-3.82,-3.97,11.5,10.89,0.01,0.09,594,588,407911,2011,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71802325581395,2.62551162790698,6.99,9.3,0.41,0.43,95.09,94.85,91.47,92.17,-1.95,-0.63,10.37,10.08,-0.21,-0.15,386,484,408061,2011,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13581632653061,4.167578125,5.66,6.51,0.26,0.31,94.32,94.47,90.29,90.79,-4.61,-5.18,10.89,10.7,0.14,0.15,1395,1152,421685,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36281355932203,4.32669026548673,0,3.7,0,0.2,0,89.92,0,86.57,0,9.05,0,5.56,0,-0.6,0,27,425657,2015,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76124550898204,2.97384514003295,4.69,6.1,0.52,0.32,96.45,96.38,92.42,92.49,-1.49,-1.82,9.88,9.79,0.05,0.25,1514,1148,425844,2015,0
5.11,9.68,0.26,0.09,96.26,97,93.06,94.88,-1.65,-1.92,4.82,6.55,-0.21,0.02,137,31,3.84895430579965,3.54586811352254,6.36,7.74,0.15,0.16,98.64,99.1,94.24,95.07,-4.21,-3.93,8.7,9.41,-0.21,0.03,1430,1590,429719,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83057692307692,5.065,8.93,3.64,0.26,0.3,97.24,97.18,93.38,92.83,-5,-5.05,7.64,8.2,-0.15,-0.06,616,110,429985,2012,0
9.68,6.04,0.34,0.33,92.8,91.98,87.56,88.63,2.78,2.81,2.74,2.92,-0.26,-0.42,403,745,3.5153821656051,2.46843891402715,6.84,9.02,0.25,0.39,95.29,96.72,92.14,93.54,-3.27,-4.4,7.79,8.11,-0.33,-0.18,190,255,430606,2012,0
7.02,9.68,0.33,0.34,90.55,92.8,87.53,87.56,2.26,2.78,4.19,2.74,-0.36,-0.26,171,403,5.248,3.5153821656051,10.1,6.84,0.17,0.25,93.4,95.29,90.9,92.14,-4.35,-3.27,8.17,7.79,-0.28,-0.33,99,190,430606,2013,0
0,0,-0.25,0,93.3,0,92.02,0,-1.87,0,5.02,0,-0.66,0,3,0,3.5390351758794,3.63623529411765,7.41,4.3,0.42,0.1,97.87,97.92,95.38,95.92,-6.78,-6.64,7.27,6.98,0.31,0.28,27,93,430613,2014,0
0,0,0.64,0,93.13,0,91.96,0,-1.1,0,7.61,0,0.3,0,2,0,4.58218450184502,3.93226763110307,7.13,8.25,0.24,0.26,95.59,95.22,92.49,92.3,-4.91,-5.34,8.21,8.16,0.4,0.39,533,1272,430912,2014,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52048648648649,5.01684848484848,5.37,6.29,0.37,0.43,90.48,90.04,87.23,86.06,-1.84,-1.97,12.11,12.22,0.3,0.43,1267,1780,432934,2015,0
6.45,5.75,0.16,0.12,90.15,91.42,87.13,88.54,2.07,2.01,3.34,5.19,-0.26,-0.52,186,609,6.90304878048781,5.22416129032258,3.33,2.9,0.09,0.48,90.4,91.74,89.21,89.97,-2.22,-2.61,8.64,9.15,0.05,-0.08,30,69,433578,2011,0
4.71,7.08,-0.19,0.26,89.25,92.92,86.09,87.79,-0.12,0.31,5.93,6.33,-0.26,-0.14,382,212,5.06486746987952,5.01425465838509,8.35,4.49,0.06,0.18,92.64,93.49,89.91,90.97,6.04,6.13,9.84,10.68,-0.08,-0.06,802,334,433579,2013,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18342857142857,3.668,8.17,8.43,0.18,0.19,97.53,97.29,95.05,94.57,-5.4,-4.91,8.33,8.71,-0.03,0.27,257,178,433586,2014,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.634,3.18342857142857,4.76,8.17,0.31,0.18,96.92,97.53,94.53,95.05,-5.57,-5.4,8.23,8.33,-0.18,-0.03,189,257,433586,2015,0
5.88,1.92,0.74,0.59,89.88,87.34,84.82,84.24,1.3,1.47,7.17,6.42,-0.2,-0.2,323,156,2.78157264957265,2.8605,5.49,2.99,0.61,0.56,92.52,92.23,89.36,89.01,-2.11,-2.18,10.31,10.2,-0.15,0.1,893,401,433589,2014,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96377828054299,3.67093301435407,8.61,7.53,0.46,0.42,96.88,97.72,93.68,94.22,-5.62,-4.98,9.08,10.14,-0.16,-0.05,790,916,434592,2012,0
0,0,0,0.67,0,91.57,0,90.97,0,-1.36,0,8.66,0,0.06,0,7,5.06481132075472,3.67278761061947,6.3,6.83,0.32,0.32,97.41,99.77,93.3,94.21,-5.39,-4.76,10.26,9.77,-0.08,0.05,969,952,434622,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1469010989011,3.15882978723404,6.48,5.52,0.22,0.29,98.1,99.57,95.87,96.16,-5.36,-5.28,7.87,8.8,-0.08,0.3,247,181,434637,2013,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42034042553191,3.93130470016207,4.33,5.86,-0.17,-0.11,92.76,93.5,90.18,90.53,4.61,3.87,11.8,11.29,0.36,0.28,254,972,434643,2013,0
4.55,4.29,0.47,0.32,93.67,93.58,88.42,89.03,0.15,1.01,5.58,6.25,-0.45,-0.29,264,815,4.3945652173913,4.46194010889292,6.99,6.39,0.32,0.26,96.33,96.35,92.84,92.76,-6.73,-4.74,9.86,11.27,-0.02,0.04,415,1440,434678,2011,0
7.64,0,0.45,0,87.65,0,81.2,0,-0.85,0,5.17,0,-0.46,0,144,0,3.99021739130435,4.95321383647799,8.64,6.09,-0.26,-0.1,91.46,91.87,87.34,88.28,4.58,4.49,8.97,8.51,-0.07,0.09,324,640,435043,2011,0
0,7.64,0,0.45,0,87.65,0,81.2,0,-0.85,0,5.17,0,-0.46,0,144,2.50963414634146,3.99021739130435,10.26,8.64,-0.1,-0.26,91.9,91.46,89.26,87.34,5.41,4.58,7.76,8.97,-0.21,-0.07,39,324,435043,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05357142857143,8.79775,2.94,4.65,0.14,0.13,91.2,93.79,89.47,91.75,8.31,8.88,8.85,8.28,0.32,0.19,34,86,441368,2011,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76557894736842,2.94956756756757,0,0,0.66,0,92.1,0,92.1,0,-6.48,0,8.02,0,1.08,0,1,0,444436,2015,0
6.25,4.12,-0.21,0.15,90.8,90.09,86.27,85.69,0.11,-0.51,2.97,2.92,-0.68,-0.95,240,364,3.60107262569832,3.33184210526316,4.78,5.07,-0.03,0.12,94.36,95.48,91.37,91.96,6.45,5.83,9.86,10.67,0.27,0.12,230,375,444520,2013,0
3.3,4.83,0.07,-0.18,88.86,88.86,85.5,85.57,1.05,0.92,3.86,2.62,-0.16,-0.25,91,538,5.49536842105263,5.58837748344371,7.95,3.96,0.13,0.35,89.95,91.73,87.4,87.33,4.44,3.63,8.44,7.48,-0.03,0,88,505,444836,2013,0
5.9,5.52,0.23,0.15,94.72,93.56,90.61,90.26,-0.31,0.06,4.87,5.66,-0.07,0.04,288,942,3.99375,4.73466037735849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444857,2011,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87510471204188,3.53470873786408,6.31,7.39,0.2,0.27,94.43,95.21,90.94,91.49,-4.3,-4.73,8.28,8.19,0.24,0.18,745,1055,445060,2012,0
0,0,0,-0.49,0,90.81,0,89.84,0,-2.19,0,7.72,0,-0.23,0,2,1.86200440528634,2.27542857142857,7.25,6.43,0.07,0.05,95.09,94.03,91.94,91.33,3.01,3.7,7.06,7.14,0.42,0.29,207,249,445156,2011,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29484126984127,3.60531578947368,7.84,4.63,0.17,0.33,97.91,97.5,95.01,95.5,4.11,3.57,11.48,10.77,-0.08,-0.1,765,259,445197,2011,0
6.89,6.64,0.05,0.03,98.04,98,92.57,94.02,2.8,0.95,10.37,10.63,-0.04,-0.03,1001,918,2.40269230769231,1.73928571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445276,2012,0
