"Year","Fourseam","Change","Slider","pfx_var","mlbam_id","Sinker","Curve","Split","Cutter","Knuckler","Slow Curve","Screwball"
"2009","87.12","73.86","80.02","mph",217096,"86.74","73.51",NA,NA,NA,NA,NA
"2010","86.54","75.79","78.91","mph",217096,"86.28","73.23",NA,NA,NA,NA,NA
"2011","84.49","75.00","80.69","mph",217096,"84.74","71.38",NA,NA,NA,NA,NA
"2012","84.90","75.89","80.39","mph",217096,"84.84","72.43",NA,NA,NA,NA,NA
"2013","84.25","75.14","81.22","mph",217096,"84.24","72.08",NA,NA,NA,NA,NA
"2015","84.23","74.18","0.00","mph",217096,"0.00","70.15",NA,NA,NA,NA,NA
"2008","5.77","1.67","0.00","bway",446899,"0.00",NA,NA,NA,NA,NA,NA
"2009","6.07","0.00","1.91","bway",446899,"0.00",NA,NA,NA,NA,NA,NA
"2010","5.15","5.56","4.17","bway",446899,"0.00",NA,NA,NA,NA,NA,NA
"2011","4.22","0.00","3.83","bway",446899,"5.96",NA,NA,NA,NA,NA,NA
"2012","0.00","0.00","3.13","bway",446899,"2.57",NA,NA,NA,NA,NA,NA
"2013","0.00","2.72","2.50","bway",446899,"3.90",NA,NA,NA,NA,NA,NA
"2014","0.00","1.07","2.34","bway",446899,"4.13",NA,NA,NA,NA,NA,NA
"2015","0.00","0.97","4.90","bway",446899,"3.35",NA,NA,NA,NA,NA,NA
"2008","-0.64","-1.07","-0.73","vloc",446899,"0.00",NA,NA,NA,NA,NA,NA
"2009","-0.64","-1.37","-0.67","vloc",446899,"0.00",NA,NA,NA,NA,NA,NA
"2010","-0.67","-1.02","-0.57","vloc",446899,"0.00",NA,NA,NA,NA,NA,NA
"2011","-0.73","-1.37","-0.36","vloc",446899,"-0.63",NA,NA,NA,NA,NA,NA
"2012","0.00","-1.48","-0.55","vloc",446899,"-0.89",NA,NA,NA,NA,NA,NA
"2013","0.00","-1.12","-0.34","vloc",446899,"-0.79",NA,NA,NA,NA,NA,NA
"2014","0.00","-1.27","-0.67","vloc",446899,"-0.83",NA,NA,NA,NA,NA,NA
"2015","0.00","-1.42","-0.82","vloc",446899,"-0.93",NA,NA,NA,NA,NA,NA
"2008","0.25","1.76","0.48","hloc",446899,"0.00",NA,NA,NA,NA,NA,NA
"2009","-0.10","1.01","0.58","hloc",446899,"0.00",NA,NA,NA,NA,NA,NA
"2010","-0.05","1.16","0.52","hloc",446899,"0.00",NA,NA,NA,NA,NA,NA
"2011","0.12","1.25","0.78","hloc",446899,"0.24",NA,NA,NA,NA,NA,NA
"2012","0.00","1.51","0.62","hloc",446899,"0.16",NA,NA,NA,NA,NA,NA
"2013","0.00","0.82","0.62","hloc",446899,"0.24",NA,NA,NA,NA,NA,NA
"2014","0.00","0.33","0.42","hloc",446899,"0.25",NA,NA,NA,NA,NA,NA
"2015","0.00","0.77","0.53","hloc",446899,"0.37",NA,NA,NA,NA,NA,NA
"2008","-4.62","-7.22","4.76","pfx_z",446899,"0.00",NA,NA,NA,NA,NA,NA
"2009","-5.73","-7.62","5.09","pfx_z",446899,"0.00",NA,NA,NA,NA,NA,NA
"2010","-4.39","-6.60","5.65","pfx_z",446899,"0.00",NA,NA,NA,NA,NA,NA
"2011","-7.59","-8.76","4.14","pfx_z",446899,"-6.60",NA,NA,NA,NA,NA,NA
"2012","0.00","-8.38","3.72","pfx_z",446899,"-5.84",NA,NA,NA,NA,NA,NA
"2013","0.00","-7.80","3.75","pfx_z",446899,"-4.90",NA,NA,NA,NA,NA,NA
"2014","0.00","-8.79","2.89","pfx_z",446899,"-6.31",NA,NA,NA,NA,NA,NA
"2015","0.00","-8.75","3.71","pfx_z",446899,"-6.29",NA,NA,NA,NA,NA,NA
"2008","-9.82","-6.90","5.34","pfx_x",446899,"0.00",NA,NA,NA,NA,NA,NA
"2009","-9.67","-6.52","4.90","pfx_x",446899,"0.00",NA,NA,NA,NA,NA,NA
"2010","-9.28","-6.72","3.95","pfx_x",446899,"0.00",NA,NA,NA,NA,NA,NA
"2011","-7.16","-3.72","6.49","pfx_x",446899,"-8.17",NA,NA,NA,NA,NA,NA
