Cutter.bway.x,Cutter.bway.y,Cutter.hloc.x,Cutter.hloc.y,Cutter.maxmph.x,Cutter.maxmph.y,Cutter.mph.x,Cutter.mph.y,Cutter.pfx_x.x,Cutter.pfx_x.y,Cutter.pfx_z.x,Cutter.pfx_z.y,Cutter.vloc.x,Cutter.vloc.y,Cutter.x,Cutter.y,FIP.x,FIP.y,Fourseam.bway.x,Fourseam.bway.y,Fourseam.hloc.x,Fourseam.hloc.y,Fourseam.maxmph.x,Fourseam.maxmph.y,Fourseam.mph.x,Fourseam.mph.y,Fourseam.pfx_x.x,Fourseam.pfx_x.y,Fourseam.pfx_z.x,Fourseam.pfx_z.y,Fourseam.vloc.x,Fourseam.vloc.y,Fourseam.x,Fourseam.y,mlbam_id,yearID,tjs_label
8.65,7.26,0.39,0.17,93.53,93.67,90.42,89.4,1.39,1.52,3.81,3.6,-0.35,-0.45,185,248,3.16372832369942,3.06353608247423,4.15,8.54,0.46,0.48,100.22,100.26,96.73,95.98,-7.01,-6.86,8.79,9.32,0.26,0.12,193,316,150035,2011,0
0,4.72,0.38,0.27,94.64,92.69,89.77,87.21,-1.87,1.43,5.87,2.84,-0.43,-0.55,7,127,4.35293023255814,4.14365217391304,8.81,6.3,0.29,0.49,97.72,97.38,95.09,94.97,-6.08,-6.35,7.96,8.08,0.21,0.21,159,127,150035,2014,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11112903225806,3.92126556016597,5,5.41,0.54,0.41,94.96,96.32,92.85,93.56,-7.69,-8.35,7.83,7.04,0.1,0.09,260,777,150407,2012,0
4.17,5.56,0.74,0.37,91,90,88.93,86.34,-0.54,0.39,6.62,5.93,-1.02,-0.35,24,36,5.5715,6.35422222222222,10.61,6.93,0.41,0.42,94.04,94.36,91.85,91.35,-7.57,-7.78,9.52,8.4,-0.3,-0.21,132,101,276514,2015,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96567796610169,2.80627272727273,7.06,7.12,0.4,0.31,96.76,97.39,92.89,93.29,-1.72,-1.49,9.24,9.54,0.17,0.14,425,674,400089,2011,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04030769230769,3.18730769230769,4.4,6.47,0.01,0.11,97.61,98.31,95.1,95.63,2.76,2.48,8.9,8.72,0.1,0.14,455,696,407819,2013,0
0,0,-0.82,0,91.65,0,91.54,0,0.1,0,5.69,0,0.79,0,2,0,3.52109677419355,2.65977777777778,4.83,7.07,0.09,0.25,96.6,98.15,94.15,96.13,7.77,5.48,8.84,9.95,0.14,0.25,414,396,407819,2015,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61026086956522,3.62246808510638,8.35,8.03,0.37,0.43,96.17,97.34,93.74,94.37,-8.93,-8.63,7.04,7.35,-0.06,-0.16,503,598,407842,2014,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17471661237785,4.46468101761252,6.83,5.69,0.24,0.34,92.43,93.13,89.34,89.76,-3.87,-4.22,10.91,10.65,-0.13,-0.07,1172,1441,407890,2015,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79473684210526,3.1169746835443,6.23,6.63,0.37,0.11,98.49,97.55,95.06,94.59,-3.82,-3.97,11.5,10.89,0.01,0.09,594,588,407911,2011,0
6.06,0,0.8,0.73,94.05,93.75,89.53,93.75,1.03,-3.2,7.88,6.29,-0.02,0.44,33,1,4.84852112676056,3.81223404255319,4.66,5.08,0.44,0.42,97.92,98.21,94.96,95.43,-4.1,-3.04,10.44,9.94,0.19,0.13,193,177,407924,2012,0
5.88,7.72,0.49,0.21,89.51,90.94,87.69,87.26,0.43,0.62,3.4,4.1,-0.05,0.02,17,285,9.36772727272727,5.11283783783784,0,11.54,0.21,0.26,91.71,92.52,90.41,90.06,-4.94,-3.21,8.09,8.01,-0.28,0.32,13,104,425647,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06722222222222,3.15707547169811,4.88,3.33,0.03,0.31,90.31,92.42,87.64,88.26,9.21,9.52,6.25,6.18,-0.46,-0.49,41,30,425657,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41240677966102,3.06722222222222,3.45,4.88,-0.03,0.03,89.95,90.31,87.61,87.64,10.34,9.21,4.86,6.25,-0.48,-0.46,29,41,425657,2013,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.248,2.72914634146341,0,5.66,0.5,-0.13,94.83,95.36,92.56,93.06,-5.94,-3.04,7.55,7.86,-0.51,-0.38,12,53,425747,2013,0
5.11,9.68,0.26,0.09,96.26,97,93.06,94.88,-1.65,-1.92,4.82,6.55,-0.21,0.02,137,31,3.84895430579965,3.54586811352254,6.36,7.74,0.15,0.16,98.64,99.1,94.24,95.07,-4.21,-3.93,8.7,9.41,-0.21,0.03,1430,1590,429719,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62870786516854,3.99584548104956,5.54,6.08,0.26,0.25,96.68,98.46,92.34,93.44,-3.96,-4.13,8.04,8.29,-0.1,-0.13,1732,2055,429722,2012,0
0,0,0,0.64,0,93.13,0,91.96,0,-1.1,0,7.61,0,0.3,0,2,5.54059340659341,4.58218450184502,6.02,7.13,0.21,0.24,94.9,95.59,91.95,92.49,-5.99,-4.91,8.01,8.21,0.41,0.4,432,533,430912,2015,0
14.29,0,1.11,-0.29,92.88,88.72,90.78,86.58,-0.62,-0.28,4.34,2.58,-0.76,-0.46,7,21,2.60754323001631,2.83637931034483,6.29,6.69,0.44,0.45,96.22,96.39,92.66,92.89,-2.4,-1.41,8.42,7.75,-0.02,0.03,636,1031,433587,2013,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19222222222222,2.7804347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434181,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78374172185431,5.4054347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434442,2012,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59711627906977,4.72013114754098,6.37,6.03,-0.44,-0.31,93.48,94.71,91.4,90.42,6.23,6.16,10.17,9.78,0.26,0.07,157,464,434578,2014,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92838277511962,3.28991525423729,5.24,5.79,0.33,0.32,96.85,96.95,93.85,94.51,-4.39,-4.53,9.58,9.73,0.38,0.26,782,604,434628,2013,0
4.55,4.29,0.47,0.32,93.67,93.58,88.42,89.03,0.15,1.01,5.58,6.25,-0.45,-0.29,264,815,4.3945652173913,4.46194010889292,6.99,6.39,0.32,0.26,96.33,96.35,92.84,92.76,-6.73,-4.74,9.86,11.27,-0.02,0.04,415,1440,434678,2011,0
