"mlbam_id","year","Fourseam","Slider","Change","Curve","Sinker","Cutter","Split","Knuckler","Slow.Curve"
450203,2010,454,132,138,256,387,46,NA,NA,NA
450306,2015,195,NA,198,99,191,NA,NA,NA,NA
450306,2014,1484,NA,1069,439,574,2,NA,NA,NA
450306,2013,1153,NA,669,354,223,37,NA,NA,NA
450312,2008,NA,NA,NA,33,73,NA,NA,NA,NA
450665,2010,12,NA,426,150,1034,2,NA,NA,NA
450665,2009,386,NA,233,217,281,NA,NA,NA,NA
451491,2010,507,NA,4,86,NA,NA,NA,NA,NA
451532,2013,95,NA,19,35,48,26,NA,NA,7
451532,2012,1048,201,126,331,399,203,NA,NA,59
451532,2011,1194,130,197,433,589,586,NA,NA,78
451775,2013,3,NA,NA,1,3,NA,NA,NA,NA
451775,2012,765,NA,71,349,59,13,NA,NA,NA
451775,2011,571,NA,64,266,43,21,NA,NA,NA
455092,2012,341,248,15,NA,NA,NA,NA,NA,NA
455092,2011,349,247,NA,NA,NA,NA,NA,NA,NA
456167,2013,1965,NA,457,529,NA,391,NA,NA,NA
456167,2012,866,NA,187,259,NA,191,NA,NA,NA
456387,2008,365,85,180,40,NA,NA,NA,NA,NA
456387,2007,418,71,211,73,NA,NA,NA,NA,NA
456496,2012,4,1,NA,NA,NA,NA,NA,NA,NA
456496,2011,221,161,7,NA,NA,NA,NA,NA,NA
456496,2010,224,175,NA,NA,NA,NA,NA,NA,NA
456696,2014,6,5,NA,NA,NA,NA,NA,NA,NA
456696,2013,681,346,39,NA,NA,NA,NA,NA,NA
456696,2012,686,374,36,NA,NA,NA,NA,NA,NA
456701,2015,65,43,NA,1,23,NA,31,NA,NA
456701,2014,1073,507,NA,176,288,NA,274,NA,NA
456701,2013,1618,531,NA,399,468,NA,430,NA,NA
457707,2014,42,3,4,NA,NA,NA,NA,NA,NA
457733,2008,409,196,NA,NA,63,NA,NA,NA,NA
457733,2007,75,31,NA,NA,42,NA,NA,NA,NA
458530,2013,98,NA,44,17,NA,NA,NA,NA,NA
458550,2013,783,456,236,222,317,NA,NA,NA,NA
458550,2012,602,259,203,224,217,NA,NA,NA,NA
458550,2011,15,NA,3,4,NA,NA,NA,NA,NA
458589,2012,7,33,16,NA,95,NA,NA,NA,NA
458589,2011,15,201,81,NA,595,NA,NA,NA,NA
458589,2010,35,221,15,NA,579,NA,NA,NA,NA
458681,2015,1728,NA,95,146,840,241,NA,NA,NA
458681,2014,1944,NA,94,298,929,386,NA,NA,NA
458681,2013,1912,NA,133,389,755,448,NA,NA,NA
458708,2012,558,NA,210,226,76,591,NA,NA,NA
458708,2011,904,NA,253,349,145,736,NA,NA,NA
458708,2010,402,NA,115,114,149,323,NA,NA,NA
458730,2014,NA,NA,NA,1,23,NA,1,NA,NA
458730,2013,298,NA,NA,201,252,NA,19,NA,NA
458730,2012,403,NA,NA,292,419,NA,NA,NA,NA
459932,2010,553,245,NA,61,NA,NA,NA,NA,NA
459932,2009,18,10,1,2,NA,NA,NA,NA,NA
459974,2010,12,NA,NA,5,NA,5,NA,NA,NA
459974,2009,87,NA,1,27,NA,15,NA,NA,NA
459974,2008,19,NA,NA,3,NA,1,NA,NA,NA
460024,2013,499,NA,16,190,139,385,NA,NA,NA
460024,2012,1212,220,198,645,536,469,NA,NA,NA
460059,2012,65,49,NA,29,126,NA,36,NA,NA
460059,2011,881,509,NA,193,1168,16,414,NA,NA
460059,2010,907,293,NA,190,1449,NA,604,NA,NA
462956,2012,467,223,63,59,NA,NA,NA,NA,NA
462956,2011,1300,715,209,143,30,NA,NA,NA,NA
462956,2010,898,374,104,220,2,NA,NA,NA,NA
465065,2011,107,NA,44,137,134,NA,NA,NA,NA
466918,2010,136,393,NA,NA,456,NA,NA,NA,NA
466918,2009,86,196,NA,NA,227,NA,NA,NA,NA
466918,2008,137,412,NA,NA,637,NA,NA,NA,NA
467100,2014,111,NA,13,99,103,NA,NA,NA,NA
467100,2013,610,27,58,735,649,NA,NA,NA,NA
467100,2012,1423,398,82,772,NA,NA,NA,NA,NA
469167,2011,168,95,33,NA,28,27,NA,NA,NA
469167,2010,86,54,6,NA,42,NA,NA,NA,NA
469802,2012,99,121,132,NA,301,NA,NA,NA,NA
469802,2011,1,204,96,NA,797,NA,NA,NA,NA
471896,2014,2,49,15,NA,147,NA,NA,NA,NA
471896,2013,NA,10,4,NA,68,NA,NA,NA,NA
471896,2012,264,50,38,NA,NA,NA,NA,NA,NA
471911,2011,825,233,336,215,258,NA,NA,NA,NA
471911,2010,243,20,144,121,147,NA,NA,NA,NA
471911,2009,165,12,102,47,69,NA,NA,NA,NA
474463,2011,428,570,80,115,240,NA,NA,NA,NA
474463,2010,725,523,143,161,157,NA,NA,NA,NA
474463,2009,1417,921,232,160,78,NA,NA,NA,NA
474668,2011,198,47,62,119,42,NA,NA,NA,NA
475138,2012,384,NA,145,153,439,180,NA,NA,NA
475138,2011,538,NA,119,139,390,285,NA,NA,NA
475138,2010,91,NA,25,37,78,27,NA,NA,NA
489189,2009,653,204,196,46,NA,NA,NA,NA,NA
489189,2008,274,57,45,41,NA,NA,NA,NA,NA
491703,2012,521,157,121,20,NA,NA,NA,NA,NA
491703,2011,1145,200,56,NA,NA,89,NA,NA,NA
491703,2010,1060,185,37,NA,NA,NA,NA,NA,NA
493117,2013,143,NA,NA,9,7,27,59,NA,NA
493137,2011,48,159,NA,NA,270,102,78,NA,NA
493137,2010,963,515,NA,21,541,443,195,NA,NA
493137,2009,565,281,NA,6,110,224,94,NA,NA
493603,2015,33,57,NA,NA,36,16,NA,NA,NA
493603,2014,478,529,9,NA,110,NA,NA,NA,NA
493603,2013,549,612,55,NA,63,NA,NA,NA,NA
497807,2012,225,37,7,46,NA,NA,NA,NA,NA
497807,2011,766,176,44,NA,NA,NA,NA,NA,NA
501955,2011,243,125,5,53,NA,NA,NA,NA,NA
501955,2010,773,322,1,97,24,NA,NA,NA,NA
501955,2009,1719,646,122,246,89,NA,NA,NA,NA
502028,2012,4,6,2,NA,29,NA,NA,NA,NA
502028,2011,24,383,66,1,719,NA,NA,NA,NA
502028,2010,21,137,70,NA,631,NA,NA,NA,NA
502061,2011,11,NA,6,6,5,NA,NA,NA,NA
502061,2010,45,NA,13,15,NA,NA,NA,NA,NA
502171,2014,102,NA,NA,511,978,NA,964,NA,NA
502171,2013,84,NA,NA,579,951,NA,785,NA,NA
502229,2013,13,7,NA,NA,NA,NA,10,NA,NA
502229,2012,761,332,NA,NA,523,2,142,NA,NA
502229,2011,450,95,NA,1,251,NA,107,NA,NA
502264,2015,106,78,6,NA,146,NA,NA,NA,NA
502264,2014,31,79,4,1,124,NA,NA,NA,NA
502264,2013,38,1,10,20,46,NA,NA,NA,NA
502578,2015,87,188,2,NA,198,NA,NA,NA,NA
502578,2014,154,232,12,NA,284,NA,NA,NA,NA
506433,2014,973,398,93,188,314,281,61,NA,106
506433,2013,1114,1097,12,229,313,581,181,NA,100
518489,2013,52,28,5,NA,28,NA,NA,NA,NA
518489,2012,5,4,NA,NA,2,NA,NA,NA,NA
518633,2012,398,2,63,111,13,24,NA,NA,NA
518633,2011,1289,53,297,408,58,NA,NA,NA,NA
518633,2010,137,NA,31,35,6,NA,NA,NA,NA
518715,2013,NA,164,40,NA,281,NA,NA,NA,NA
518715,2012,NA,68,30,NA,181,NA,NA,NA,NA
518774,2013,1543,504,310,367,NA,NA,NA,NA,NA
518774,2012,596,133,114,90,45,NA,NA,NA,NA
518774,2011,3,NA,NA,NA,NA,NA,NA,NA,NA
518813,2015,327,313,NA,37,NA,NA,10,NA,NA
518813,2014,705,551,NA,NA,NA,NA,26,NA,NA
518813,2013,681,453,NA,NA,NA,NA,36,NA,NA
518858,2014,NA,7,5,NA,17,NA,NA,NA,NA
518858,2013,NA,533,52,NA,688,NA,NA,NA,NA
518858,2012,NA,295,106,11,804,NA,NA,NA,NA
519043,2014,42,NA,32,23,73,9,NA,NA,NA
519043,2013,1484,NA,514,533,281,NA,NA,NA,NA
519043,2012,1805,NA,536,518,242,NA,NA,NA,NA
519186,2013,233,NA,33,104,NA,NA,81,NA,NA
519186,2012,513,NA,27,264,9,NA,163,NA,NA
519186,2011,429,NA,71,254,NA,NA,88,NA,NA
519437,2014,206,13,5,34,1,125,NA,NA,NA
