"playerID","mlbam_id","yearID","stint","teamID","lgID","W","L","G","GS","CG","SHO","SV","IPouts","H","ER","HR","BB","SO","BAOpp","ERA","IBB","WP","HBP","BK","BFP","GF","R","SH","SF","GIDP","FIP"
"meredcl01",448592,2009,2,"BAL","AL",0,0,29,0,0,0,0,86,26,12,3,12,17,0.252,3.77,4,0,2,0,118,12,12,1,0,NA,4.73653488372093
"meredcl01",448592,2010,1,"BAL","AL",0,2,21,0,0,0,1,45,18,9,4,4,7,0.3,5.4,1,0,1,0,67,10,9,1,1,NA,6.61233333333333
"mortoch02",450203,2010,1,"PIT","NL",2,12,17,17,0,0,0,239,112,67,15,26,59,0.332,7.57,3,5,7,1,382,0,79,6,6,NA,5.2882050209205
"mortoch02",450203,2011,1,"PIT","NL",10,10,29,29,2,1,0,515,186,73,6,77,110,0.281,3.83,5,9,13,1,769,0,82,12,6,NA,3.77063106796116
"mortoch02",450203,2012,1,"PIT","NL",2,6,9,9,0,0,0,151,62,26,5,11,25,0.305,4.65,1,4,2,0,223,0,30,5,2,NA,4.16784768211921
"vargaja01",450306,2013,1,"LAA","AL",9,8,24,24,3,2,0,450,162,67,17,46,109,0.276,4.02,2,0,5,1,644,0,68,3,3,NA,4.088
"vargaja01",450306,2014,1,"KCA","AL",11,10,30,30,1,1,0,561,197,77,19,41,128,0.267,3.71,4,1,6,1,790,0,82,3,1,11,3.83788235294118
"vargaja01",450306,2015,1,"KCA","AL",5,2,9,9,0,0,0,129,46,19,5,12,27,0.271,3.98,0,0,1,0,183,0,20,0,0,NA,4.29679069767442
"worrema01",450312,2008,1,"SLN","NL",0,1,4,0,0,0,0,17,8,5,1,4,4,0.364,7.94,1,0,0,0,27,1,5,1,0,NA,6.132
"medlekr01",450665,2009,1,"ATL","NL",3,5,37,4,0,0,0,203,65,32,5,30,72,0.256,4.26,2,3,2,1,294,10,34,6,2,NA,3.3482315270936
"medlekr01",450665,2010,1,"ATL","NL",6,2,31,14,0,0,0,323,108,44,13,21,83,0.267,3.68,1,1,3,1,438,5,48,7,3,NA,3.77559442724458
"zumayjo01",451491,2010,1,"DET","AL",2,1,31,0,0,0,1,115,32,11,1,11,34,0.229,2.58,0,2,0,0,156,6,13,2,3,NA,2.50508695652174
"billich01",451532,2011,1,"LAN","NL",11,11,32,32,1,0,0,564,189,88,14,84,152,0.264,4.21,4,5,7,0,829,0,98,13,8,NA,3.8281914893617
"billich01",451532,2012,1,"LAN","NL",10,9,25,25,0,0,0,449,148,59,11,45,128,0.257,3.55,2,5,5,0,634,0,66,6,3,NA,3.34221603563474
"billich01",451532,2013,1,"LAN","NL",1,0,2,2,0,0,0,36,12,4,1,5,6,0.286,3,0,0,0,0,49,0,4,2,0,NA,4.38133333333333
"rodrife02",451775,2011,1,"HOU","NL",2,3,47,0,0,0,0,157,51,23,6,30,57,0.264,3.96,5,2,3,0,231,11,24,5,0,NA,4.22882165605096
"rodrife02",451775,2012,1,"HOU","NL",2,10,71,0,0,0,0,211,68,42,10,34,78,0.252,5.37,7,10,1,0,309,9,45,2,2,NA,4.21822274881517
"elbersc01",455092,2011,1,"LAN","NL",0,1,47,0,0,0,2,100,27,9,1,14,34,0.22,2.43,4,2,1,0,139,11,9,0,1,NA,2.725
"elbersc01",455092,2012,1,"LAN","NL",1,1,43,0,0,0,0,98,27,8,3,13,29,0.231,2.2,1,3,1,0,133,12,8,0,2,NA,3.79908163265306
"griffaj01",456167,2012,1,"OAK","AL",7,1,15,15,0,0,0,247,74,28,10,19,64,0.236,3.06,0,0,1,0,336,0,29,0,2,NA,3.84803643724696
"griffaj01",456167,2013,1,"OAK","AL",14,10,32,32,1,1,0,600,171,85,36,54,171,0.226,3.83,2,7,4,0,823,0,91,4,4,NA,4.548
"feierry01",456387,2008,1,"SEA","AL",1,4,8,8,0,0,0,119,59,34,7,14,26,0.355,7.71,0,1,1,0,183,0,34,1,1,NA,5.24964705882353
"mateoma01",456496,2010,1,"CHN","NL",0,1,21,0,0,0,0,65,20,14,6,9,26,0.247,5.82,1,1,1,0,93,5,15,0,2,NA,5.66361538461538
"mateoma01",456496,2011,1,"CHN","NL",1,2,23,0,0,0,0,69,24,11,2,10,25,0.276,4.3,0,1,0,0,98,8,11,1,0,NA,3.28586956521739
"hernada01",456696,2012,1,"ARI","NL",2,3,72,0,0,0,4,205,48,19,4,22,98,0.19,2.5,1,4,3,1,278,21,21,0,1,NA,2.08524390243902
"hernada01",456696,2013,1,"ARI","NL",5,6,62,0,0,0,2,187,50,31,10,24,66,0.215,4.48,4,6,4,0,263,12,33,2,0,NA,4.36350802139037
"baileho02",456701,2013,1,"CIN","NL",11,12,32,32,2,1,0,627,181,81,20,54,199,0.234,3.49,2,5,10,2,849,0,85,8,4,NA,3.30637320574163
"baileho02",456701,2014,1,"CIN","NL",9,5,23,23,1,1,0,437,134,60,16,45,124,0.247,3.71,1,5,7,1,604,0,60,5,4,12,3.92833867276888
