playerID,mlbam_id,yearID,HR,BB,HBP,SO,IPouts
drabeky01,475138,2011,10,55,1,51,236
drabeky01,475138,2012,10,47,1,47,214
duffyda01,518633,2011,15,51,5,87,316
duffyda01,518633,2012,2,18,0,28,83
edginjo01,572831,2013,2,12,2,20,86
edginjo01,572831,2014,2,6,0,28,82
elbersc01,455092,2011,1,14,1,34,100
elbersc01,455092,2012,3,13,1,29,98
escalse01,465065,2011,3,11,2,25,83
feierry01,456387,2008,7,14,1,26,119
felizne01,491703,2010,5,18,5,71,208
felizne01,491703,2011,4,30,0,54,187
felizne01,491703,2012,5,23,2,37,128
fernajo02,605228,2013,10,58,5,187,518
fernajo02,605228,2014,4,13,0,70,155
figuepe01,471896,2012,2,15,0,14,65
figuepe01,471896,2013,2,3,0,3,9
figuepe01,471896,2014,1,3,2,3,27
floydga01,425856,2011,22,45,11,151,581
floydga01,425856,2012,22,63,14,144,504
floydga01,425856,2013,4,12,0,25,73
fujikky01,493117,2013,1,2,2,14,36
gearrco01,518715,2012,1,5,2,20,60
gearrco01,518715,2013,2,16,4,23,93
gieseda01,435500,2008,3,14,1,29,130
gieseda01,435500,2009,5,9,0,11,66
griffaj01,456167,2012,10,19,1,64,247
griffaj01,456167,2013,36,54,4,171,600
gutieju01,434641,2009,2,30,3,66,213
gutieju01,434641,2010,13,23,4,47,170
gutieju01,434641,2011,3,9,1,23,55
haegech01,446624,2010,4,26,1,30,90
hanrajo01,430629,2011,1,16,1,61,206
hanrajo01,430629,2012,8,36,1,67,179
hanrajo01,430629,2013,4,6,0,5,22
harvema01,518774,2012,5,26,3,70,178
harvema01,518774,2013,7,31,4,191,535
hefneje01,458550,2012,9,18,2,62,281
hefneje01,458550,2013,20,37,5,99,392
hernada01,456696,2012,4,22,3,98,205
hernada01,456696,2013,10,24,4,66,187
herndda01,458589,2010,2,17,2,29,157
herndda01,458589,2011,9,24,2,39,171
herndda01,458589,2012,1,1,0,8,23
herrmfr01,497807,2011,7,16,0,34,169
herrmfr01,497807,2012,1,4,0,14,58
hillri01,448179,2009,7,40,1,46,173
hillri01,448179,2010,0,1,0,3,12
hillri01,448179,2011,0,3,1,12,24
hillsh01,429718,2008,5,23,1,39,190
hillsh01,429718,2009,1,3,1,7,36
hochelu01,460024,2012,27,61,13,144,556
hochelu01,460024,2013,8,17,1,82,211
hollagr01,518813,2013,3,18,0,103,201
hollagr01,518813,2014,3,20,0,90,187
hollagr01,518813,2015,2,26,0,49,134
hollama01,571786,2014,3,21,1,35,141
hudsoda01,543339,2010,8,27,4,84,286
hudsoda01,543339,2011,17,50,8,169,666
hudsoda01,543339,2012,9,12,0,37,136
hutchdr01,571800,2012,8,20,5,49,176
isrinja01,116414,2008,5,22,5,36,128
isrinja01,116414,2009,0,5,2,6,24
jonesna01,518858,2012,4,32,1,65,215
jonesna01,518858,2013,5,26,1,89,234
jonesna01,518858,2014,0,3,0,0,0
kellyca01,543391,2012,5,10,2,26,87
kohnmi01,543409,2010,0,16,0,20,64
kohnmi01,543409,2011,6,9,1,9,37
lackejo01,407793,2009,17,47,9,139,529
lackejo01,407793,2010,18,72,9,156,645
lackejo01,407793,2011,20,56,19,108,480
litscje01,446209,2008,20,39,8,99,528
litscje01,446209,2009,4,1,1,8,27
luebkco01,458537,2010,3,6,1,18,53
luebkco01,458537,2011,12,44,2,154,419
luebkco01,458537,2012,1,8,0,23,93
