BB.x,BB.y,birth_year,Change.bway.x,Change.bway.y,Change.hloc.x,Change.hloc.y,Change.maxmph.x,Change.maxmph.y,Change.mph.x,Change.mph.y,Change.pfx_x.x,Change.pfx_x.y,Change.pfx_z.x,Change.pfx_z.y,Change.vloc.x,Change.vloc.y,Change.x,Change.y,Curve.bway.x,Curve.bway.y,Curve.hloc.x,Curve.hloc.y,Curve.maxmph.x,Curve.maxmph.y,Curve.mph.x,Curve.mph.y,Curve.pfx_x.x,Curve.pfx_x.y,Curve.pfx_z.x,Curve.pfx_z.y,Curve.vloc.x,Curve.vloc.y,Curve.x,Curve.y,Cutter.bway.x,Cutter.bway.y,Cutter.hloc.x,Cutter.hloc.y,Cutter.maxmph.x,Cutter.maxmph.y,Cutter.mph.x,Cutter.mph.y,Cutter.pfx_x.x,Cutter.pfx_x.y,Cutter.pfx_z.x,Cutter.pfx_z.y,Cutter.vloc.x,Cutter.vloc.y,Cutter.x,Cutter.y,FIP.x,FIP.y,Fourseam.bway.x,Fourseam.bway.y,Fourseam.hloc.x,Fourseam.hloc.y,Fourseam.maxmph.x,Fourseam.maxmph.y,Fourseam.mph.x,Fourseam.mph.y,Fourseam.pfx_x.x,Fourseam.pfx_x.y,Fourseam.pfx_z.x,Fourseam.pfx_z.y,Fourseam.vloc.x,Fourseam.vloc.y,Fourseam.x,Fourseam.y,HBP.x,HBP.y,HR.x,HR.y,IPouts.x,IPouts.y,key_bbref,Knuckler.bway.x,Knuckler.bway.y,Knuckler.hloc.x,Knuckler.hloc.y,Knuckler.maxmph.x,Knuckler.maxmph.y,Knuckler.mph.x,Knuckler.mph.y,Knuckler.pfx_x.x,Knuckler.pfx_x.y,Knuckler.pfx_z.x,Knuckler.pfx_z.y,Knuckler.vloc.x,Knuckler.vloc.y,Knuckler.x,Knuckler.y,mlbam_id,prev_yearID,Sinker.bway.x,Sinker.bway.y,Sinker.hloc.x,Sinker.hloc.y,Sinker.maxmph.x,Sinker.maxmph.y,Sinker.mph.x,Sinker.mph.y,Sinker.pfx_x.x,Sinker.pfx_x.y,Sinker.pfx_z.x,Sinker.pfx_z.y,Sinker.vloc.x,Sinker.vloc.y,Sinker.x,Sinker.y,Slider.bway.x,Slider.bway.y,Slider.hloc.x,Slider.hloc.y,Slider.maxmph.x,Slider.maxmph.y,Slider.mph.x,Slider.mph.y,Slider.pfx_x.x,Slider.pfx_x.y,Slider.pfx_z.x,Slider.pfx_z.y,Slider.vloc.x,Slider.vloc.y,Slider.x,Slider.y,Slow.Curve.bway.x,Slow.Curve.bway.y,Slow.Curve.hloc.x,Slow.Curve.hloc.y,Slow.Curve.maxmph.x,Slow.Curve.maxmph.y,Slow.Curve.mph.x,Slow.Curve.mph.y,Slow.Curve.pfx_x.x,Slow.Curve.pfx_x.y,Slow.Curve.pfx_z.x,Slow.Curve.pfx_z.y,Slow.Curve.vloc.x,Slow.Curve.vloc.y,Slow.Curve.x,Slow.Curve.y,SO.x,SO.y,Split.bway.x,Split.bway.y,Split.hloc.x,Split.hloc.y,Split.maxmph.x,Split.maxmph.y,Split.mph.x,Split.mph.y,Split.pfx_x.x,Split.pfx_x.y,Split.pfx_z.x,Split.pfx_z.y,Split.vloc.x,Split.vloc.y,Split.x,Split.y,yearID,tjs_label
12,19,1976,0,0,0,0.96,0,87.38,0,86.03,0,-6.54,0,6.79,0,-0.66,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65,7.26,0.39,0.17,93.53,93.67,90.42,89.4,1.39,1.52,3.81,3.6,-0.35,-0.45,185,248,3.16372832369942,3.06353608247423,4.15,8.54,0.46,0.48,100.22,100.26,96.73,95.98,-7.01,-6.86,8.79,9.32,0.26,0.12,193,316,3,4,5,4,173,194,farnsky01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150035,2010,6.46,5.59,0.28,0.39,100.36,98.88,94.12,93.64,-9.24,-9.15,5.83,6.07,-0.44,-0.36,325,483,6.9,8.39,0.31,0.31,90.7,91.17,87.14,85.45,2.84,3.53,0.21,-0.55,-0.6,-0.69,174,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0
19,51,1976,5.44,5.44,0.41,0.44,84.58,84.38,80.12,79.71,7.68,7,7.36,8.46,-0.42,-0.13,147,570,7.14,6.07,0.21,0.22,75.61,74.85,71.36,71.03,-4.04,-4.38,-9.6,-9.57,-0.34,-0.19,98,346,2,5.49,0.2,0.36,85.31,87.64,82.45,83.16,-1.35,-0.95,3.75,4.36,-0.4,-0.16,100,492,3.91691780821918,4.20839100346021,7,8.37,-0.2,-0.17,91.11,91.58,88.03,88.03,7.25,6.67,10.24,10.46,0.05,0.27,357,1601,2,9,3,28,146,578,lillyte01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150404,2011,0,7.27,0.87,-0.03,86.97,91.3,86.97,87.27,9.9,8.82,8.85,7.44,0.85,-0.08,1,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0
18,18,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,1.15,0.22,0.08,83.18,83.87,79.28,80.14,4.41,3.32,-6.42,-6.21,-0.26,-1.06,88,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79473684210526,3.1169746835443,6.23,6.63,0.37,0.11,98.49,97.55,95.06,94.59,-3.82,-3.97,11.5,10.89,0.01,0.09,594,588,0,1,7,5,152,158,francfr01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407911,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,0.21,84.26,87.21,84.26,85.38,2.59,2.12,5.14,4.3,0.8,0.26,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,60,4.09,5.42,0.46,0.19,89.07,89.15,86.54,86.49,-5.03,-4.77,5.76,5.1,-0.59,-0.3,171,203,2011,0
21,18,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,5.68,0.28,0.22,82.62,83.18,78.25,79.28,5.13,4.41,-7.59,-6.42,-0.34,-0.26,34,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89814960629921,3.79473684210526,5.16,6.23,0.24,0.37,98.78,98.49,94.96,95.06,-4.16,-3.82,10.7,11.5,-0.01,0.01,504,594,0,0,5,7,127,152,francfr01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407911,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,0,0.23,1.42,89.88,84.26,85.75,84.26,1.14,2.59,3.03,5.14,-0.31,0.8,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,53,3.94,4.09,0.4,0.46,88.84,89.07,85.75,86.54,-5.4,-5.03,3.62,5.76,-0.68,-0.59,203,171,2012,0
31,26,1982,3.63,3.66,0.35,0.35,89.11,88.04,83.77,83.38,-4.23,-3.85,3.8,3.11,-1.28,-1.15,248,246,5.56,4.23,0.48,0.51,80.17,81.81,77.13,77.41,8.21,8.66,-7.38,-5.78,-0.82,-0.82,234,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83111111111111,2.71802325581395,7.25,6.99,0.35,0.41,96.18,95.09,92.7,91.47,-2.7,-1.95,10.1,10.37,-0.22,-0.21,414,386,0,2,8,4,216,215,rodrifr03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408061,2011,7.98,7.97,0.38,0.39,95.08,94.74,92.16,90.79,-7.56,-7.99,6.16,5.97,-0.5,-0.44,326,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0
11,23,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,5.56,0.26,0.52,75.81,76.06,73.33,72.38,6.22,5.49,-10.37,-10.75,-0.37,-0.37,107,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52072727272727,3.44916666666667,4.11,7.28,0.06,0.32,97.06,96.48,95.37,94.25,-0.59,0.2,11.38,10.76,0.55,0.34,316,426,1,1,0,5,110,144,crainje01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430884,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,5.38,0.38,0.45,88.1,89.02,84.89,85.47,4.28,4.2,-0.2,0.57,-0.17,0.03,207,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,60,2.63,0,0.67,0.59,85.72,85.24,84.24,83.08,-5.22,-3.92,4.05,3.94,-1.03,-0.82,38,63,2013,0
46,56,1986,2.99,2.19,0.25,0.3,93.4,93.5,89.5,89.06,-6.29,-4.88,1.28,1,-1.07,-1.08,737,639,3.85,6.27,0.25,0.34,85.33,85.19,81.15,81.94,6.14,6.5,-7.37,-7.89,-0.8,-0.71,442,399,14.29,0,1.11,-0.29,92.88,88.72,90.78,86.58,-0.62,-0.28,4.34,2.58,-0.76,-0.46,7,21,2.60754323001631,2.83637931034483,6.29,6.69,0.44,0.45,96.22,96.39,92.66,92.89,-2.4,-1.41,8.42,7.75,-0.02,0.03,636,1031,3,12,15,14,613,696,hernafe02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433587,2012,6.36,4.71,0.35,0.37,96.43,95.99,92.27,92.19,-7.55,-6.75,6.14,6.15,-0.33,-0.2,1227,934,6.63,7.84,0.16,0.16,88.1,89.68,84.77,85.54,1.76,1.97,-1.63,-1.76,-0.73,-0.63,362,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,0
49,30,1984,5.09,2.87,0.4,0.35,91,91.25,85.26,85.62,-6.46,-5.93,5.24,5.3,-0.99,-0.86,452,453,4.65,6.4,0.35,0.39,83.58,85.03,78.33,79.85,3.75,3.25,-4.11,-3.52,-0.21,-0.41,215,172,2.72,0,-0.18,0,94.82,0,89.9,0,2.91,0,6.91,0,-0.32,0,147,0,4.73272611464968,2.71136507936508,5.32,5.71,0.35,0.34,95.92,96.02,92.47,93.02,-0.67,-1.22,10.54,10.8,0.06,0.09,977,788,1,3,29,4,471,378,sanchan01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434671,2014,3.6,9.18,-0.18,-0.02,96.22,96.69,92.66,93.36,-5.47,-5.54,9.23,9.46,-0.04,-0.24,333,207,5.03,7.88,0.08,0.06,90.6,91.03,86.8,87.53,3.61,3.54,2.55,3.3,-0.71,-0.61,398,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0
26,80,1983,4.52,4.6,0.56,0.56,87.2,87.04,83.59,83.06,-10.11,-8.45,6.29,7.64,-0.54,-0.53,199,565,3.46,4.01,0.3,0.43,82.83,85.03,77.5,78.7,7.11,5.44,-6.16,-6.54,-0.85,-0.94,231,399,4.55,4.29,0.47,0.32,93.67,93.58,88.42,89.03,0.15,1.01,5.58,6.25,-0.45,-0.29,264,815,4.3945652173913,4.46194010889292,6.99,6.39,0.32,0.26,96.33,96.35,92.84,92.76,-6.73,-4.74,9.86,11.27,-0.02,0.04,415,1440,5,2,7,20,184,551,davieky01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434678,2010,5.24,5.68,0.28,0.34,95.69,95.33,91.99,92.53,-8.45,-7.15,7.74,8.77,-0.14,-0.15,286,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0
32,10,1983,2.49,0,0.4,0.56,89.18,89.14,86.6,85.23,-7.84,-5.89,2.69,1.74,-1.29,-0.97,201,79,5.17,3.91,0.4,0.42,81.63,80.82,77.64,77.67,8.58,8.05,-4.43,-3.09,-1.05,-1.01,522,128,5.89,5.9,0.1,0.23,93.94,94.72,90.4,90.61,0.32,-0.31,4.09,4.87,0.14,-0.07,713,288,3.81467654986523,3.99375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,14,3,371,96,feldmsc01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444857,2011,5.94,5.41,0.13,0.07,96.14,96.14,92.4,92.78,-8.07,-7.96,4.75,4.91,-0.41,-0.5,775,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,22,6.15,0,0.46,0,88.02,0,85.45,0,-4,0,2.42,0,-0.51,0,65,0,2012,0
