BB.x,BB.y,birth_year,Change.bway.x,Change.bway.y,Change.hloc.x,Change.hloc.y,Change.maxmph.x,Change.maxmph.y,Change.mph.x,Change.mph.y,Change.pfx_x.x,Change.pfx_x.y,Change.pfx_z.x,Change.pfx_z.y,Change.vloc.x,Change.vloc.y,Change.x,Change.y,Curve.bway.x,Curve.bway.y,Curve.hloc.x,Curve.hloc.y,Curve.maxmph.x,Curve.maxmph.y,Curve.mph.x,Curve.mph.y,Curve.pfx_x.x,Curve.pfx_x.y,Curve.pfx_z.x,Curve.pfx_z.y,Curve.vloc.x,Curve.vloc.y,Curve.x,Curve.y,Cutter.bway.x,Cutter.bway.y,Cutter.hloc.x,Cutter.hloc.y,Cutter.maxmph.x,Cutter.maxmph.y,Cutter.mph.x,Cutter.mph.y,Cutter.pfx_x.x,Cutter.pfx_x.y,Cutter.pfx_z.x,Cutter.pfx_z.y,Cutter.vloc.x,Cutter.vloc.y,Cutter.x,Cutter.y,FIP.x,FIP.y,Fourseam.bway.x,Fourseam.bway.y,Fourseam.hloc.x,Fourseam.hloc.y,Fourseam.maxmph.x,Fourseam.maxmph.y,Fourseam.mph.x,Fourseam.mph.y,Fourseam.pfx_x.x,Fourseam.pfx_x.y,Fourseam.pfx_z.x,Fourseam.pfx_z.y,Fourseam.vloc.x,Fourseam.vloc.y,Fourseam.x,Fourseam.y,HBP.x,HBP.y,HR.x,HR.y,IPouts.x,IPouts.y,key_bbref,Knuckler.bway.x,Knuckler.bway.y,Knuckler.hloc.x,Knuckler.hloc.y,Knuckler.maxmph.x,Knuckler.maxmph.y,Knuckler.mph.x,Knuckler.mph.y,Knuckler.pfx_x.x,Knuckler.pfx_x.y,Knuckler.pfx_z.x,Knuckler.pfx_z.y,Knuckler.vloc.x,Knuckler.vloc.y,Knuckler.x,Knuckler.y,mlbam_id,prev_yearID,Sinker.bway.x,Sinker.bway.y,Sinker.hloc.x,Sinker.hloc.y,Sinker.maxmph.x,Sinker.maxmph.y,Sinker.mph.x,Sinker.mph.y,Sinker.pfx_x.x,Sinker.pfx_x.y,Sinker.pfx_z.x,Sinker.pfx_z.y,Sinker.vloc.x,Sinker.vloc.y,Sinker.x,Sinker.y,Slider.bway.x,Slider.bway.y,Slider.hloc.x,Slider.hloc.y,Slider.maxmph.x,Slider.maxmph.y,Slider.mph.x,Slider.mph.y,Slider.pfx_x.x,Slider.pfx_x.y,Slider.pfx_z.x,Slider.pfx_z.y,Slider.vloc.x,Slider.vloc.y,Slider.x,Slider.y,Slow.Curve.bway.x,Slow.Curve.bway.y,Slow.Curve.hloc.x,Slow.Curve.hloc.y,Slow.Curve.maxmph.x,Slow.Curve.maxmph.y,Slow.Curve.mph.x,Slow.Curve.mph.y,Slow.Curve.pfx_x.x,Slow.Curve.pfx_x.y,Slow.Curve.pfx_z.x,Slow.Curve.pfx_z.y,Slow.Curve.vloc.x,Slow.Curve.vloc.y,Slow.Curve.x,Slow.Curve.y,SO.x,SO.y,Split.bway.x,Split.bway.y,Split.hloc.x,Split.hloc.y,Split.maxmph.x,Split.maxmph.y,Split.mph.x,Split.mph.y,Split.pfx_x.x,Split.pfx_x.y,Split.pfx_z.x,Split.pfx_z.y,Split.vloc.x,Split.vloc.y,Split.x,Split.y,yearID,tjs_label
50,56,1983,0.82,1.49,0.76,0.72,87.17,88.31,85.01,85.73,-8.05,-7.91,5.44,4.56,-0.78,-0.69,122,134,3.17,3.77,0.54,0.54,79.88,80.13,75.52,76.07,8.31,8.48,-5.52,-5.38,-1.28,-0.93,788,795,7.21,6.54,0.38,0.2,91.52,92.95,87.86,88.8,1.82,1.44,4.51,3.93,0.05,0.06,1040,1024,4.1135157116451,4.02781651376147,8.93,6.86,0.5,0.3,91.95,93.52,89.48,90.62,-4.23,-4.18,8.49,7.54,-0.06,-0.17,56,102,11,9,16,19,541,545,feldmsc01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444857,2013,4.33,5.6,0.24,0.27,93.75,94.74,89.56,90.89,-6.92,-7.39,5.79,5.35,-0.34,-0.5,923,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,68.72,0,67.77,0,7.61,0,-7.94,0,-0.47,0,3,0,107,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,0
17,25,1982,0,0,0,0.53,0,88.16,0,85.13,0,5.43,0,3.71,0,-0.09,0,4,7.17,5.86,0.12,0.23,82.71,82.32,78.2,77.73,-9.19,-8.27,-6.04,-6.41,-0.65,-0.68,488,512,0,0,0,-0.49,0,90.81,0,89.84,0,-2.19,0,7.72,0,-0.23,0,2,1.86200440528634,2.27542857142857,7.25,6.43,0.07,0.05,95.09,94.03,91.94,91.33,3.01,3.7,7.06,7.14,0.42,0.29,207,249,2,2,1,3,227,224,marshse01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445156,2010,3.7,5.05,0.27,0.32,94.54,93.69,92.1,90.36,8.18,8.04,6.15,6.16,-0.35,-0.17,108,99,7.75,7.27,0.26,0.35,90.36,92.45,86.49,86.2,-2.46,-2.29,1.54,1.81,-0.33,-0.27,413,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0
42,54,1986,5.01,3.31,0.27,0.42,88.69,88.9,80.91,81.91,7.76,8.06,5.95,4.88,-0.67,-0.88,379,605,7.89,5,-0.01,0.18,82.21,83.66,78.69,77.26,1.28,-0.53,-2,-4.61,-0.49,-0.52,114,160,0,3.3,-0.16,0.02,87.87,91.85,86.68,87.36,-0.36,1.12,7.34,5.21,0.44,-0.15,5,182,5.09508086253369,4.03459845559846,6.23,5.56,-0.09,-0.02,94.22,96.17,89.48,90.96,4.05,3.69,10.46,9.68,0.3,0.2,706,1007,6,1,22,18,371,518,cecilbr01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446399,2010,7.12,6.34,0.18,0.41,93.9,94.49,88.49,89.89,7.53,7.23,7.04,6.9,-0.02,-0.05,295,347,2.91,4.28,-0.01,0.15,89.36,92.5,83.46,84.65,1.48,0.79,3.7,3.08,-0.36,-0.34,412,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0
8,5,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.80928571428571,2.825,5.26,4.88,0.37,0.29,95.87,96.06,93.58,95,8.65,8.55,8.31,8.27,-0.24,-0.1,76,41,1,0,2,0,21,15,perezju01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448722,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82,4.65,0.35,0.35,85.72,85.8,82.98,83.18,-4.66,-5.14,-0.27,-0.95,-0.43,-1.1,83,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0
22,8,1980,5.06,16.67,0.85,0.59,80.87,72.8,72.88,71.94,-9.67,-7.32,4.08,3.88,-0.51,-0.23,79,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.30878378378378,5.52344444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,74,27,neshepa01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450212,2010,4.76,5.13,0.43,0.26,91.22,89.57,87.16,86.89,-10.38,-9.17,2.55,3.78,-0.12,0.04,210,78,8.02,7.08,0.27,0.43,88.68,85.42,83.98,82.15,-3,-0.17,1.91,3.07,-0.31,-0.25,212,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0
6,22,1980,0,5.06,1.25,0.85,77.42,80.87,72.91,72.88,-7.69,-9.67,5.94,4.08,-0.53,-0.51,20,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51872881355932,6.30878378378378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,59,74,neshepa01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450212,2011,5.88,4.76,0.61,0.43,93.22,91.22,90.24,87.16,-10.29,-10.38,4.41,2.55,0.17,-0.12,34,210,6.43,8.02,0.4,0.27,87.36,88.68,84.19,83.98,-0.63,-3,2.32,1.91,-0.23,-0.31,280,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0
12,6,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57036363636364,7.70342857142857,6.9,4.44,0.39,0.5,99.02,95.38,95.98,93.09,-8.75,-8.53,7.85,7.93,0.03,-0.44,449,45,1,0,4,2,165,21,lowema01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450275,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,8.43,0.57,0.65,89.82,87.64,87.15,85.27,-0.3,0.42,2.3,2.06,-0.7,-0.23,444,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0
65,37,1982,3.46,3.65,0.61,0.83,83.96,83.83,78.11,78.55,-5.56,-4.51,8.82,9.51,-0.46,-0.27,664,384,5.14,4.09,0.61,0.79,75.72,75.48,69.91,71.82,6.41,5.31,-3.79,-2.53,-0.53,-0.39,681,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.191375,3.81905831533477,7.94,4.64,0.21,0.26,91.99,92.08,87.5,87.32,-0.1,-0.1,10.46,10.82,0.33,0.42,781,689,6,7,27,17,640,463,weaveje02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450308,2013,4.09,3.23,0.5,0.74,90.81,90.96,86.49,86.65,-4.68,-4.73,9.18,9.71,0.07,0.17,1027,651,6.06,5.63,0.33,0.3,83.88,85.31,79.91,80.95,4.14,4.3,0.64,1.46,-0.95,-0.8,363,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,0
20,23,1985,0,0,2.63,0.89,90.73,86.98,90.73,86.03,-6.92,-6.83,3.4,5.99,-0.82,-0.23,1,6,3.27,4.35,0.06,0.2,89.59,90.15,85.08,85.38,3.05,3.23,-4.91,-4.67,-1.24,-1.04,214,276,5.88,3.68,0.14,0.42,96.78,95.88,93.27,92.6,2.28,2.5,5.36,4.68,-0.32,-0.49,340,299,2.28746534653465,1.18755555555556,4.16,6.89,0.45,0.39,100.1,100.04,96.52,96.46,-2.18,-2.67,10.51,10.7,-0.07,0.19,601,900,0,3,3,0,202,216,daviswa01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451584,2014,0,0,0.58,-1.01,97.16,97.64,96.9,95.58,-9.36,-7.44,5.68,6.55,-0.8,-0.4,3,14,0,0,0,-0.1,0,86.98,0,85.63,0,3.36,0,-3.17,0,-1.97,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0
22,24,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,6.92,0.16,0.2,86.76,87.62,83.07,84.07,9.74,8.49,-4.09,-5.84,-0.47,-0.62,182,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47957894736842,4.01545454545455,6.92,6.49,0.32,0.2,96.09,97.63,93.87,94.4,-5.09,-4.9,8.33,9.07,-0.11,-0.02,347,770,3,1,4,14,95,264,lincobr01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453184,2012,0,4.92,0,0.48,0,95.71,0,93.24,0,-8.75,0,5.16,0,-0.25,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,88,6.25,8.2,0.59,0.58,88.35,89.16,85.67,86.37,-5.52,-4.99,-0.48,0.56,-0.66,-0.28,48,61,2013,0
6,10,1985,3.85,0,0.4,1.39,86.4,81.48,84.38,79.92,-8.56,-7.85,3.03,2.14,-0.84,-0.78,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94282608695652,7.17205882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,46,34,edlefst01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453580,2011,5.94,4.57,0.29,0.29,94.43,92.71,91.6,90.95,-9.79,-8.84,0.69,-0.21,-0.47,-0.64,219,175,2.82,3.39,0.77,0.5,85.32,83.95,82.57,81.18,2.98,3.11,-0.91,-0.57,-0.93,-1.04,71,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0
30,29,1979,6.63,2.63,0.85,0.76,85.4,87.33,81.51,82.31,-4.48,-4.97,2.95,2.02,-0.38,-0.59,181,266,6.14,0.81,0.52,0.59,74.2,76.07,69.73,72.13,9.29,10.27,-7,-6.06,-1.08,-0.95,114,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90184729064039,2.86566666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,3,203,225,henslcl01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454535,2010,6.19,4.38,0.31,0.42,93.19,93.44,87.42,89.21,-6.73,-7.83,6.9,6.3,-0.02,-0.2,646,571,5.8,4.65,0.46,0.44,84.87,86.92,79.92,80.98,4.59,4.99,0.2,0.27,-0.36,-0.86,138,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,0
