key_mlbam,key_bbref
571704,gileske01
543219,gilmase01
460269,gimench01
571710,givenmy01
453232,godfrgr01
643327,godleza01
592340,goedder01
592341,goforda01
460156,gomesbr01
430404,gomesjo01
491646,gomezje01
594835,gonzama02
471868,gonzaal03
592346,gonzach01
429440,gonzaed01
434619,gonzaen01
461829,gonzagi01
646057,gonzami05
283166,gonzami02
605894,gonzase01
580792,goodyni01
430950,gordobr01
452733,gorzeto01
641627,gotttr01
346848,grabojo02
594840,gracema02
543242,grahajr01
608665,graveke01
462522,grayje02
592351,grayjo02
543243,grayso01
434958,greense01
572888,greensh02
572889,greenni02
502381,gregelu01
276514,greggke01
425844,greinza01
276351,grillja01
518748,grimmju01
459439,grubeja01
515052,guaipma01
500610,guerrde01
457915,guerrja01
448855,guerrju02
407825,guerrma02
543258,guilmpr01
543261,gurkaja01
425386,guthrje01
459345,hackeer01
444935,hagadni01
543266,hagenbr01
534910,hahnje01
571735,haleda02
407849,hallbi03
595235,hallco01
136880,hallaro01
523648,hambuma01
430935,hamelco01
434628,hammeja01
430618,hampsju01
115399,hamptmi01
543271,hamreer01
543272,handbr01
518764,handdo01
462102,hansoto01
457918,happja01
421685,haranaa01
425848,harderi01
543278,hardybl01
429717,harenda01
449173,harrelu01
518771,harrimi03
543281,harrijo05
457448,harrima01
501822,hatchch02
502281,hatlema01
115629,hawkila01
458003,hawksbl01
571760,heanean01
445177,heathde01
408310,heilmaa01
476451,hellije01
518782,hellwjo01
592390,hembrhe01
449104,hendeji01
543294,hendrky01
424805,hendrma01
521230,hendrli01
430675,hennse01
454535,henslcl01
433587,hernafe02
115817,hernali01
517060,hernape02
433584,carmofa01
502609,herreda01
516969,herreke01
506648,herreyo01
594857,hesslke01
518790,hestoch01
592398,hillta01
648737,hinojda01
450527,hinshal01
460597,hoeyja02
116034,hoffmtr01
458720,holdzjo01
502706,hollade01
571787,holmbda01
543331,hoovejj01
456662,horstje01
459415,hottoto01
543334,housetj01
605288,housead01
446901,houseja01
434442,howeljp01
133982,howrybo01
218596,hudsoti01
453307,huffda01
458250,hughedu01
453172,hugheja02
461833,hugheph01
458950,humbeph01
488984,hunteto02
518833,hynesco01
500891,ibarred01
579799,igarary01
628452,iglesra01
500872,infangr01
446928,inglejo01
572947,irwinph01
547874,iwakuhi01
429719,jacksed01
543351,jacksja01
592426,jackslu01
452259,jacksst01
462089,jaimeju01
499856,jakubch01
460580,jamesch03
448241,jamesju01
445276,janseke01
445163,janssca01
502026,jeffrje01
554432,jenkich01
408057,jenksbo01
543359,jennida01
448178,jepseke01
462945,jimence01
434622,jimenub01
471183,joaquwa01
489567,johnsal02
598271,johnsbr02
605304,johnser04
462382,johnsji04
435178,johnsjo09
453241,johnskr01
453531,johnsro07
489002,johnsst02
518852,jokiser01
434540,jonesga02
491220,joneshu01
518863,jordata01
548348,josepdo01
518865,judyjo01
543380,jungmta01
457453,jurrjja01
592454,kahnlto01
501992,karnsna01
444371,karstje01
499877,kawakke01
431148,kazmisc01
605309,kelake01
518875,kellesh01
430603,kellydo01
523260,kellyjo05
502462,kellyry01
452718,kendrky01
453178,kenneia01
434137,kensilo01
477132,kershcl01
572971,keuchda01
592464,kickhmi01
489020,kilbybr01
501993,kimbaco01
518886,kimbrcr01
448337,kinnejo01
445213,kintzbr01
457779,kirkmmi01
607309,kleinph01
446372,klubeco01
608349,knebeco01
605317,knudsgu01
543408,koehlto01
502004,kontoge01
445090,korecbo01
476127,kroenza01
571871,krolia01
425539,kuoho01
493133,kurodhi01
444836,laffeaa01
489039,lafrobo01
543424,lambjo02
407835,laneja01
543426,langwma01
458709,lannajo01
425560,larocad01
502009,latosma01
518927,layneto01
612272,lazora01
434181,leagubr01
502190,leakemi01
605333,leathja01
453281,leblawa01
459967,lecursa01
425656,ledezwi01
547348,leech01
424324,leecl02
545346,leeza01
489056,leesmch01
504186,leonar01
608678,leonedo01
434679,lerewan01
460092,lerouch01
452657,lestejo01
407890,lewisco01
460029,lewisje01
451650,lewisro01
571893,liberad01
400058,lidgebr01
150404,lillyte01
547939,limch01
453311,linceti01
453184,lincobr01
150221,lincomi01
458676,lindbjo01
605338,lindgja01
469834,lindssh01
434637,lindsma01
276530,linebsc01
456899,linkjo01
434538,liriafr01
467785,lizra01
547568,loch02
543456,lobstky01
502046,lockeje01
434180,loeka01
429400,loewead01
457429,loganbo02
346798,lohseky01
150479,lopezfe01
425657,lopezja02
605347,lopezjo02
446641,lopezwi01
547179,lorenmi01
571901,loupaa01
400076,louxsh01
117955,lowede01
450275,lowema01
518961,luekejo01
476595,luetglu01
543475,lylesjo01
407193,lyonbr01
544928,lyonsty01
213680,macdomi01
466948,machije01
449774,maclaev01
543483,magilma01
518972,magnutr01
118158,mahayro01
430904,maholpa01
430574,maiermi01
429720,mainejo01
453186,mainesc01
400008,majewga01
455117,maldoma01
476011,malonma02
595307,manesse01
453249,manshje01
490008,manuero01
451788,marcush01
516970,marimsu01
501697,marinjh01
592527,mariomi01
476123,marksju01
621408,marksma01
461791,marmoca01
543488,maronni01
457812,marquje01
543493,marshbr01
605359,marshev01
445156,marshse01
429708,martean01
150122,marteda01
501687,martelu01
469690,martevi01
455119,martich02
592533,martico01
543495,martiet01
455605,martijd01
514669,martira04
593372,martica04
450852,marticr01
451075,martida02
458155,martijo07
607259,martini01
463017,martish01
434665,masseni01
475416,masteju01
469097,matafr01
458628,mathejo02
455949,mathisc01
450545,mathido01
425772,mathije01
458919,matthry01
451085,matusbr01
571927,matzst01
554431,matzety01
543506,maurebr01
543507,maytr01
493337,mayayu01
476570,mazzavi01
543508,mazzoco01
502083,mcallza01
449072,mccleky01
501873,mcclemi01
453454,mccoymi01
519003,mccoypa01
621121,mcculla02
445216,mccutda01
150021,mcdonda02
457428,mcdonja03
150348,mcdonjo03
519008,mcfartj01
459429,mcgeeja01
543518,mcgousc01
430661,mcgowdu01
543521,mchugco01
605374,mckiran01
519015,mcpheky01
219194,mechegi01
430665,meddebr01
500721,medinyo01
457425,meekev01
516769,mejiaje01
453343,melanma01
458657,mendead01
542669,mendero01
434669,mendolu01
542235,merceme01
543542,meyeral01
434159,meyerda02
501874,mickoka01
467726,mijarjo01
571945,mikolmi01
425446,milesaa01
489119,mileywa01
453192,millean01
461848,milleji02
502522,milleju02
277405,milleju01
571946,millesh01
119125,milletr02
502166,millsbr02
119154,millwke01
543548,milonto01
501985,minormi01
435619,mischpa01
571951,mitchbr01
543551,mitchdj01
429901,mitrese01
452241,mockga01
119215,moehlbr01
467856,monasca01
606160,montera01
543557,montgmi01
489138,moorety01
462985,moralfr01
519048,morelmi01
514981,morendi01
605388,morgaad01
573046,morinmi01
592570,morriak01
457768,morribr01
453344,morrobr01
489150,mortecl01
446861,moscogu01
621209,moscojo01
400291,moseldu01
446290,moskoda01
150407,motagu01
119469,moyerja01
493247,moylape01
465629,mujiced01
453381,mulveke01
538506,muratto01
461815,murphda07
408206,myersbr01
429780,narvech01
519076,nelsoji02
406874,nelsojo01
593576,nerishe01
553970,nesbian01
450212,neshepa01
547820,nifu01
504379,nicasju01
592593,nicolju01
435298,niemaje01
477003,niesejo01
430588,nievefe01
430962,nippedu01
456051,noesihe01
605400,nolaaa01
445060,nolasri01
543594,nolinse01
467099,norbejo01
502032,norribu01
596057,norrida01
573064,nunovi01
456585,oconnmi01
503285,odayda01
594951,orourry01
457711,osullse01
623184,obergsc01
519085,oberhbr01
543606,odorija01
468396,ogandal01
596331,ogandne01
456027,ohlenro01
349193,ohmanwi01
506606,okajihi01
501989,olivean01
119984,oliveda02
500902,olivele01
543607,olmosed01
435179,olsensc01
457796,olsonga01
621397,olsonty01
476134,omogrbr01
446185,ondrulo01
514639,ortegjo01
517451,ortizjo05
133460,ortizru01
592612,osichjo01
532077,osunaro01
400061,oswalro01
519096,oteroda01
407489,overbly01
596064,owenshe02
502168,owensru01
452249,owingmi01
218894,padilvi01
461212,palmema01
449097,papeljo01
120221,parkch01
453284,parkebl01
519105,parkeja02
448159,parrama01
332292,parrijo01
489197,partccu01
519110,paterjo01
572017,pattere02
607359,pattosp01
461856,pattotr01
456102,pauleda01
134321,pavanca01
572020,paxtoja01
572021,pazosja01
502748,peacobr01
408241,peavyja01
516414,penaar01
459983,pendlla01
435140,pennha01
207267,pennybr01
407908,peraljo01
503449,peralwi01
466412,perdolu01
453198,perezch01
448722,perezju01
424144,perezol01
460370,perezra01
554234,perezwi01
450282,perkigl01
543634,perryry01
502260,pestavi01
519128,peterbr01
433589,petityu01
502593,petrija01
543643,pettijo02
120485,pettian01
475479,phelpda01
452061,phillza01
516935,pimenst01
572038,pindebr01
501381,pinedmi01
334492,pineijo01
464416,pinoyo01
430594,pintore01
519141,pomerdr01
456421,pomerst01
519144,porceri01
519145,poredaa01
519151,pressry01
456034,priceda01
543668,pryorst01
453515,purceda01
446367,putkolu01
474029,putnaza01
407816,putzjj01
534812,quackke01
430589,quallch01
500779,quintjo01
430605,raburry01
548384,raleybr01
493351,ramiral03
469735,ramired01
468517,ramirel02
541640,ramirer02
400141,ramirho01
500724,ramirjc01
542432,ramirjo02
519166,ramirne01
598287,ramirno01
430673,ramirra02
573109,ramosaj01
459987,ramosce01
519168,ranauan01
449060,rapadcl01
474284,rasmuco02
519169,rasmuro01
400010,rauchjo01
502051,ravinjo01
444884,raych01
592662,rayro02
459988,rayro01
607067,reaco01
595371,rearich01
489232,reckean01
445170,redmoto01
592665,reedad01
607068,reedch01
519175,reedev01
474256,reidry01
448656,reinech01
434592,resopch01
121096,reyesde01
457456,reyesjo03
453353,reynogr01
121125,rhodear01
446488,ricesc01
453385,richacl01
572070,richaga01
450580,richadu02
446341,richmsc01
592677,riefecj01
516589,rienzan01
346799,rincoju01
429721,ringro01
121250,riverma01
346800,riversa01
553878,riverfe01
543698,roachdo01
543699,roarkta01
594977,roberke02
502085,roberda08
425146,roberna01
502356,roberty01
519208,robincl01
453203,robinsh01
570663,robleha01
500909,roblema01
407845,rodnefe01
607074,rodonca01
444553,rodrian01
593958,rodried05
408061,rodrifr03
477557,rodrifr04
469159,rodrihe03
444126,rodrira01
434643,rodriwa01
516853,rodriwi02
475054,roech01
502158,roenijo01
469134,rogeres01
449161,rogerma01
543716,rollida01
544836,romeren01
460069,romerri01
461865,rominan01
489265,romose01
444468,rondohe01
504083,rondojo01
460349,rosaca01
489267,rosalad01
449820,rosalle01
466459,rosarsa02
543725,rosenbj01
572096,rosentr01
519229,rosinse01
424325,rossda01
605452,rossjo01
543726,rossro01
475115,rossty01
573127,rosscza01
607706,rothmi01
594985,rowenbe01
434884,rowlary01
607968,rucindr01
592704,ruffich01
592705,rumbeni01
502130,runzlda01
434666,rupejo01
543734,rusinch01
452240,russead01
460701,russeja02
453895,ryanbr01
594986,ryanky01
